,economy,measure,vehicle_type,medium,transport_type,scenario,unit,date,fuel,frequency,unit.1,scope,comment,dataset,drive,value
16297,07_INA,energy,all,air,combined,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16298,07_INA,energy,all,air,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16299,07_INA,energy,all,air,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16300,07_INA,energy,all,air,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16301,07_INA,energy,all,air,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16302,07_INA,energy,all,nonspecified,combined,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16303,07_INA,energy,all,nonspecified,combined,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16304,07_INA,energy,all,pipeline,combined,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16305,07_INA,energy,all,pipeline,combined,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16306,07_INA,energy,all,rail,combined,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16307,07_INA,energy,all,rail,combined,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16308,07_INA,energy,all,rail,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16309,07_INA,energy,all,rail,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16310,07_INA,energy,all,rail,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16311,07_INA,energy,all,rail,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16312,07_INA,energy,all,road,combined,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16313,07_INA,energy,all,road,combined,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16314,07_INA,energy,all,road,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16315,07_INA,energy,all,road,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16316,07_INA,energy,all,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16317,07_INA,energy,all,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16318,07_INA,energy,all,ship,combined,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16319,07_INA,energy,all,ship,combined,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16320,07_INA,energy,all,ship,freight,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16321,07_INA,energy,all,ship,freight,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16322,07_INA,energy,all,ship,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16323,07_INA,energy,all,ship,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16324,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16325,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16326,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16327,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16328,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16329,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16330,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16331,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16332,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16333,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16334,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16335,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16336,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16337,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16338,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16339,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
16340,07_INA,energy,bus,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16341,07_INA,energy,bus,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_g,0.0
16342,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16343,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,all,0.0
16344,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16345,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,bev,0.0
16346,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16347,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,cng,0.0
16348,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16349,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,fcev,0.0
16350,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16351,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_d,0.0
16352,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16353,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,ice_g,0.0
16354,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16355,07_INA,energy,car,road,passenger,target,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,lpg,0.0
16356,07_INA,energy,car,road,passenger,reference,pj,2064,all,yearly,pj,national,no_comment,9th_outlook_esto,phev_d,0.0
