Economy,Year,Transport Type,Vehicle Type,Turnover_rate,Scenario
02_BD,2036,passenger,bus,0.05,Reference
02_BD,2036,passenger,lt,0.0699999999999999,Reference
02_BD,2036,passenger,lv,0.09,Reference
02_BD,2037,freight,ht,0.0699999999999999,Reference
02_BD,2037,freight,lt,0.0699999999999999,Reference
02_BD,2037,passenger,2w,0.11,Reference
02_BD,2037,passenger,bus,0.05,Reference
02_BD,2037,passenger,lt,0.0699999999999999,Reference
02_BD,2037,passenger,lv,0.09,Reference
02_BD,2038,freight,ht,0.0699999999999999,Reference
02_BD,2038,freight,lt,0.0699999999999999,Reference
02_BD,2038,passenger,2w,0.11,Reference
02_BD,2038,passenger,bus,0.05,Reference
02_BD,2038,passenger,lt,0.0699999999999999,Reference
02_BD,2038,passenger,lv,0.09,Reference
02_BD,2039,freight,ht,0.0699999999999999,Reference
02_BD,2039,freight,lt,0.0699999999999999,Reference
02_BD,2039,passenger,2w,0.11,Reference
02_BD,2039,passenger,bus,0.05,Reference
02_BD,2039,passenger,lt,0.0699999999999999,Reference
02_BD,2039,passenger,lv,0.09,Reference
02_BD,2040,freight,ht,0.0699999999999999,Reference
02_BD,2040,freight,lt,0.0699999999999999,Reference
02_BD,2040,passenger,2w,0.11,Reference
02_BD,2040,passenger,bus,0.05,Reference
02_BD,2040,passenger,lt,0.0699999999999999,Reference
02_BD,2040,passenger,lv,0.09,Reference
02_BD,2041,freight,ht,0.0699999999999999,Reference
02_BD,2041,freight,lt,0.0699999999999999,Reference
02_BD,2041,passenger,2w,0.11,Reference
02_BD,2041,passenger,bus,0.05,Reference
02_BD,2041,passenger,lt,0.0699999999999999,Reference
02_BD,2041,passenger,lv,0.09,Reference
02_BD,2042,freight,ht,0.0699999999999999,Reference
02_BD,2042,freight,lt,0.0699999999999999,Reference
02_BD,2042,passenger,2w,0.11,Reference
02_BD,2042,passenger,bus,0.05,Reference
02_BD,2042,passenger,lt,0.0699999999999999,Reference
02_BD,2042,passenger,lv,0.09,Reference
02_BD,2043,freight,ht,0.0699999999999999,Reference
02_BD,2043,freight,lt,0.0699999999999999,Reference
02_BD,2043,passenger,2w,0.11,Reference
02_BD,2043,passenger,bus,0.05,Reference
02_BD,2043,passenger,lt,0.0699999999999999,Reference
02_BD,2043,passenger,lv,0.09,Reference
02_BD,2044,freight,ht,0.0699999999999999,Reference
02_BD,2044,freight,lt,0.0699999999999999,Reference
02_BD,2044,passenger,2w,0.11,Reference
02_BD,2044,passenger,bus,0.05,Reference
02_BD,2044,passenger,lt,0.0699999999999999,Reference
02_BD,2044,passenger,lv,0.09,Reference
02_BD,2045,freight,ht,0.0699999999999999,Reference
02_BD,2045,freight,lt,0.0699999999999999,Reference
02_BD,2045,passenger,2w,0.11,Reference
02_BD,2045,passenger,bus,0.05,Reference
02_BD,2045,passenger,lt,0.0699999999999999,Reference
02_BD,2045,passenger,lv,0.09,Reference
02_BD,2046,freight,ht,0.0699999999999999,Reference
02_BD,2046,freight,lt,0.0699999999999999,Reference
02_BD,2046,passenger,2w,0.11,Reference
02_BD,2046,passenger,bus,0.05,Reference
02_BD,2046,passenger,lt,0.0699999999999999,Reference
02_BD,2046,passenger,lv,0.09,Reference
02_BD,2047,freight,ht,0.0699999999999999,Reference
02_BD,2047,freight,lt,0.0699999999999999,Reference
02_BD,2047,passenger,2w,0.11,Reference
02_BD,2047,passenger,bus,0.05,Reference
02_BD,2047,passenger,lt,0.0699999999999999,Reference
02_BD,2047,passenger,lv,0.09,Reference
02_BD,2048,freight,ht,0.0699999999999999,Reference
02_BD,2048,freight,lt,0.0699999999999999,Reference
02_BD,2048,passenger,2w,0.11,Reference
02_BD,2048,passenger,bus,0.05,Reference
02_BD,2048,passenger,lt,0.0699999999999999,Reference
02_BD,2048,passenger,lv,0.09,Reference
02_BD,2049,freight,ht,0.0699999999999999,Reference
02_BD,2049,freight,lt,0.0699999999999999,Reference
02_BD,2049,passenger,2w,0.11,Reference
02_BD,2049,passenger,bus,0.05,Reference
02_BD,2049,passenger,lt,0.0699999999999999,Reference
02_BD,2049,passenger,lv,0.09,Reference
02_BD,2050,freight,ht,0.0699999999999999,Reference
02_BD,2050,freight,lt,0.0699999999999999,Reference
02_BD,2050,passenger,2w,0.11,Reference
02_BD,2050,passenger,bus,0.05,Reference
02_BD,2050,passenger,lt,0.0699999999999999,Reference
02_BD,2050,passenger,lv,0.09,Reference
03_CDA,2018,freight,ht,0.0699999999999999,Reference
03_CDA,2018,freight,lt,0.0699999999999999,Reference
03_CDA,2018,passenger,2w,0.11,Reference
03_CDA,2018,passenger,bus,0.05,Reference
03_CDA,2018,passenger,lt,0.0699999999999999,Reference
03_CDA,2018,passenger,lv,0.09,Reference
03_CDA,2019,freight,ht,0.0699999999999999,Reference
03_CDA,2019,freight,lt,0.0699999999999999,Reference
03_CDA,2019,passenger,2w,0.11,Reference
03_CDA,2019,passenger,bus,0.05,Reference
03_CDA,2019,passenger,lt,0.0699999999999999,Reference
03_CDA,2019,passenger,lv,0.09,Reference
03_CDA,2020,freight,ht,0.0699999999999999,Reference
03_CDA,2020,freight,lt,0.0699999999999999,Reference
03_CDA,2020,passenger,2w,0.11,Reference
03_CDA,2020,passenger,bus,0.05,Reference
03_CDA,2020,passenger,lt,0.0699999999999999,Reference
03_CDA,2020,passenger,lv,0.09,Reference
03_CDA,2021,freight,ht,0.0699999999999999,Reference
03_CDA,2021,freight,lt,0.0699999999999999,Reference
03_CDA,2021,passenger,2w,0.11,Reference
03_CDA,2021,passenger,bus,0.05,Reference
03_CDA,2021,passenger,lt,0.0699999999999999,Reference
