Economy,Year,Transport Type,Vehicle Type,Occupancy_or_load,Scenario
02_BD,1991,passenger,lv,1.7,Reference
02_BD,1992,freight,2w,0.05,Reference
02_BD,1992,freight,ht,6.0,Reference
02_BD,1992,freight,lt,0.25,Reference
02_BD,1992,passenger,2w,1.6,Reference
02_BD,1992,passenger,lt,1.8,Reference
02_BD,1992,passenger,lv,1.7,Reference
02_BD,1993,freight,2w,0.05,Reference
02_BD,1993,freight,ht,6.0,Reference
02_BD,1993,freight,lt,0.25,Reference
02_BD,1993,passenger,2w,1.6,Reference
02_BD,1993,passenger,lt,1.8,Reference
02_BD,1993,passenger,lv,1.7,Reference
02_BD,1994,freight,2w,0.05,Reference
02_BD,1994,freight,ht,6.0,Reference
02_BD,1994,freight,lt,0.25,Reference
02_BD,1994,passenger,2w,1.6,Reference
02_BD,1994,passenger,lt,1.8,Reference
02_BD,1994,passenger,lv,1.7,Reference
02_BD,1995,freight,2w,0.05,Reference
02_BD,1995,freight,ht,6.0,Reference
02_BD,1995,freight,lt,0.25,Reference
02_BD,1995,passenger,2w,1.6,Reference
02_BD,1995,passenger,lt,1.8,Reference
02_BD,1995,passenger,lv,1.7,Reference
02_BD,1996,freight,2w,0.05,Reference
02_BD,1996,freight,ht,6.0,Reference
02_BD,1996,freight,lt,0.25,Reference
02_BD,1996,passenger,2w,1.6,Reference
02_BD,1996,passenger,lt,1.8,Reference
02_BD,1996,passenger,lv,1.7,Reference
02_BD,1997,freight,2w,0.05,Reference
02_BD,1997,freight,ht,6.0,Reference
02_BD,1997,freight,lt,0.25,Reference
02_BD,1997,passenger,2w,1.6,Reference
02_BD,1997,passenger,lt,1.8,Reference
02_BD,1997,passenger,lv,1.7,Reference
02_BD,1998,freight,2w,0.05,Reference
02_BD,1998,freight,ht,6.0,Reference
02_BD,1998,freight,lt,0.25,Reference
02_BD,1998,passenger,2w,1.6,Reference
02_BD,1998,passenger,lt,1.8,Reference
02_BD,1998,passenger,lv,1.7,Reference
02_BD,1999,freight,2w,0.05,Reference
02_BD,1999,freight,ht,6.0,Reference
02_BD,1999,freight,lt,0.25,Reference
02_BD,1999,passenger,2w,1.6,Reference
02_BD,1999,passenger,lt,1.8,Reference
02_BD,1999,passenger,lv,1.7,Reference
02_BD,2000,freight,2w,0.05,Reference
02_BD,2000,freight,ht,6.0,Reference
02_BD,2000,freight,lt,0.25,Reference
02_BD,2000,passenger,2w,1.6,Reference
02_BD,2000,passenger,lt,1.8,Reference
02_BD,2000,passenger,lv,1.7,Reference
02_BD,2001,freight,2w,0.05,Reference
02_BD,2001,freight,ht,6.0,Reference
02_BD,2001,freight,lt,0.25,Reference
02_BD,2001,passenger,2w,1.6,Reference
02_BD,2001,passenger,lt,1.8,Reference
02_BD,2001,passenger,lv,1.7,Reference
02_BD,2002,freight,2w,0.05,Reference
02_BD,2002,freight,ht,6.0,Reference
02_BD,2002,freight,lt,0.25,Reference
02_BD,2002,passenger,2w,1.6,Reference
02_BD,2002,passenger,lt,1.8,Reference
02_BD,2002,passenger,lv,1.7,Reference
02_BD,2003,freight,2w,0.05,Reference
02_BD,2003,freight,ht,6.0,Reference
02_BD,2003,freight,lt,0.25,Reference
02_BD,2003,passenger,2w,1.6,Reference
02_BD,2003,passenger,lt,1.8,Reference
02_BD,2003,passenger,lv,1.7,Reference
02_BD,2004,freight,2w,0.05,Reference
02_BD,2004,freight,ht,6.0,Reference
02_BD,2004,freight,lt,0.25,Reference
02_BD,2004,passenger,2w,1.6,Reference
02_BD,2004,passenger,bus,28.8105665632761,Reference
02_BD,2004,passenger,lt,1.8,Reference
02_BD,2004,passenger,lv,1.7,Reference
02_BD,2005,freight,2w,0.05,Reference
02_BD,2005,freight,ht,6.0,Reference
02_BD,2005,freight,lt,0.25,Reference
02_BD,2005,passenger,2w,1.6,Reference
02_BD,2005,passenger,bus,28.8105665632761,Reference
02_BD,2005,passenger,lt,1.8,Reference
02_BD,2005,passenger,lv,1.7,Reference
02_BD,2006,freight,2w,0.05,Reference
02_BD,2006,freight,ht,6.0,Reference
02_BD,2006,freight,lt,0.25,Reference
02_BD,2006,passenger,2w,1.6,Reference
02_BD,2006,passenger,bus,28.8105665632761,Reference
