Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2019,01_AUS,Carbon Neutral,freight,ht,lpg,0.079603581994659
2020,01_AUS,Carbon Neutral,freight,ht,lpg,0.0804076585953341
2021,01_AUS,Carbon Neutral,freight,ht,lpg,0.0808117171720975
2022,01_AUS,Carbon Neutral,freight,ht,lpg,0.0812178061651842
2023,01_AUS,Carbon Neutral,freight,ht,lpg,0.081625935879719
2024,01_AUS,Carbon Neutral,freight,ht,lpg,0.0820361164593372
2025,01_AUS,Carbon Neutral,freight,ht,lpg,0.0824483582152419
2026,01_AUS,Carbon Neutral,freight,ht,lpg,0.0828626715634947
2027,01_AUS,Carbon Neutral,freight,ht,lpg,0.0832790669583227
2028,01_AUS,Carbon Neutral,freight,ht,lpg,0.0836975546811943
2029,01_AUS,Carbon Neutral,freight,ht,lpg,0.0841181453954989
2030,01_AUS,Carbon Neutral,freight,ht,lpg,0.0845408496630149
2031,01_AUS,Carbon Neutral,freight,ht,lpg,0.0849656780803531
2032,01_AUS,Carbon Neutral,freight,ht,lpg,0.0853926412780368
2033,01_AUS,Carbon Neutral,freight,ht,lpg,0.0858217499931921
2034,01_AUS,Carbon Neutral,freight,ht,lpg,0.0862530150722546
2035,01_AUS,Carbon Neutral,freight,ht,lpg,0.086686447323452
2036,01_AUS,Carbon Neutral,freight,ht,lpg,0.0871220575879797
2037,01_AUS,Carbon Neutral,freight,ht,lpg,0.0875598568922749
2038,01_AUS,Carbon Neutral,freight,ht,lpg,0.0879998562223149
2039,01_AUS,Carbon Neutral,freight,ht,lpg,0.088442066518718
2040,01_AUS,Carbon Neutral,freight,ht,lpg,0.0888864989877143
2041,01_AUS,Carbon Neutral,freight,ht,lpg,0.0891092721983084
2042,01_AUS,Carbon Neutral,freight,ht,lpg,0.0893326036932128
2043,01_AUS,Carbon Neutral,freight,ht,lpg,0.0895564949048739
2044,01_AUS,Carbon Neutral,freight,ht,lpg,0.0897809472734596
2045,01_AUS,Carbon Neutral,freight,ht,lpg,0.0900059622469559
2046,01_AUS,Carbon Neutral,freight,ht,lpg,0.0902315410370138
2047,01_AUS,Carbon Neutral,freight,ht,lpg,0.0904576852675272
2048,01_AUS,Carbon Neutral,freight,ht,lpg,0.0906843962448092
2049,01_AUS,Carbon Neutral,freight,ht,lpg,0.0909116754453768
2050,01_AUS,Carbon Neutral,freight,ht,lpg,0.0911395242709684
2018,01_AUS,Carbon Neutral,freight,ht,phevd,0.145601746872217
2019,01_AUS,Carbon Neutral,freight,ht,phevd,0.147072471595236
2020,01_AUS,Carbon Neutral,freight,ht,phevd,0.14855805210051
2021,01_AUS,Carbon Neutral,freight,ht,phevd,0.149304574988427
2022,01_AUS,Carbon Neutral,freight,ht,phevd,0.150054849233925
2023,01_AUS,Carbon Neutral,freight,ht,phevd,0.150808893700845
