Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2041,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2042,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2043,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2044,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2045,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2046,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2047,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2048,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2049,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2050,06_HKC,Reference,passenger,bus,bev,0.1930873425438
2018,06_HKC,Reference,passenger,bus,cng,0.0965893153672055
2019,06_HKC,Reference,passenger,bus,cng,0.0985605258849036
2020,06_HKC,Reference,passenger,bus,cng,0.100571965188677
2021,06_HKC,Reference,passenger,bus,cng,0.101587843624926
2022,06_HKC,Reference,passenger,bus,cng,0.102613983459521
2023,06_HKC,Reference,passenger,bus,cng,0.103650488342951
2024,06_HKC,Reference,passenger,bus,cng,0.104697462972677
2025,06_HKC,Reference,passenger,bus,cng,0.105755013103715
2026,06_HKC,Reference,passenger,bus,cng,0.106823245559308
2027,06_HKC,Reference,passenger,bus,cng,0.107902268241725
2028,06_HKC,Reference,passenger,bus,cng,0.108992190143157
2029,06_HKC,Reference,passenger,bus,cng,0.110093121356724
2030,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2031,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2032,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2033,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2034,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2035,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2036,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2037,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2038,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2039,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2040,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2041,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2042,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2043,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2044,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2045,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2046,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2047,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2048,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2049,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2050,06_HKC,Reference,passenger,bus,cng,0.1112051730876
2018,06_HKC,Reference,passenger,bus,d,0.107321461519117
2019,06_HKC,Reference,passenger,bus,d,0.10951169542767
2020,06_HKC,Reference,passenger,bus,d,0.111746627987419
2021,06_HKC,Reference,passenger,bus,d,0.112875381805473
2022,06_HKC,Reference,passenger,bus,d,0.114015537177246
2023,06_HKC,Reference,passenger,bus,d,0.115167209269945
2024,06_HKC,Reference,passenger,bus,d,0.116330514414086
2025,06_HKC,Reference,passenger,bus,d,0.117505570115238
2026,06_HKC,Reference,passenger,bus,d,0.118692495065897
2027,06_HKC,Reference,passenger,bus,d,0.119891409157472
2028,06_HKC,Reference,passenger,bus,d,0.121102433492396
2029,06_HKC,Reference,passenger,bus,d,0.12232569039636
2030,06_HKC,Reference,passenger,bus,d,0.123561303430666
2031,06_HKC,Reference,passenger,bus,d,0.123561303430666
2032,06_HKC,Reference,passenger,bus,d,0.123561303430666
2033,06_HKC,Reference,passenger,bus,d,0.123561303430666
2034,06_HKC,Reference,passenger,bus,d,0.123561303430666
2035,06_HKC,Reference,passenger,bus,d,0.123561303430666
2036,06_HKC,Reference,passenger,bus,d,0.123561303430666
2037,06_HKC,Reference,passenger,bus,d,0.123561303430666
2038,06_HKC,Reference,passenger,bus,d,0.123561303430666
2039,06_HKC,Reference,passenger,bus,d,0.123561303430666
2040,06_HKC,Reference,passenger,bus,d,0.123561303430666
2041,06_HKC,Reference,passenger,bus,d,0.123561303430666
2042,06_HKC,Reference,passenger,bus,d,0.123561303430666
2043,06_HKC,Reference,passenger,bus,d,0.123561303430666
2044,06_HKC,Reference,passenger,bus,d,0.123561303430666
2045,06_HKC,Reference,passenger,bus,d,0.123561303430666
2046,06_HKC,Reference,passenger,bus,d,0.123561303430666
2047,06_HKC,Reference,passenger,bus,d,0.123561303430666
2048,06_HKC,Reference,passenger,bus,d,0.123561303430666
2049,06_HKC,Reference,passenger,bus,d,0.123561303430666
2050,06_HKC,Reference,passenger,bus,d,0.123561303430666
2018,06_HKC,Reference,passenger,bus,fcev,0.101821817960461
2019,06_HKC,Reference,passenger,bus,fcev,0.10243643657994
2020,06_HKC,Reference,passenger,bus,fcev,0.103054765170966
2021,06_HKC,Reference,passenger,bus,fcev,0.103364859750217
2022,06_HKC,Reference,passenger,bus,fcev,0.103675887412454
2023,06_HKC,Reference,passenger,bus,fcev,0.10398785096535
2024,06_HKC,Reference,passenger,bus,fcev,0.104300753225025
2025,06_HKC,Reference,passenger,bus,fcev,0.104614597016074
2026,06_HKC,Reference,passenger,bus,fcev,0.104929385171588
2027,06_HKC,Reference,passenger,bus,fcev,0.105245120533188
2028,06_HKC,Reference,passenger,bus,fcev,0.105561805951041
2029,06_HKC,Reference,passenger,bus,fcev,0.105879444283893
2030,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2031,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2032,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2033,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2034,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2035,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2036,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2037,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2038,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2039,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2040,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2041,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2042,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2043,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2044,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2045,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2046,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2047,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2048,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2049,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2050,06_HKC,Reference,passenger,bus,fcev,0.10619803839909
2018,06_HKC,Reference,passenger,bus,g,0.0965893153672055
2019,06_HKC,Reference,passenger,bus,g,0.0985605258849036
2020,06_HKC,Reference,passenger,bus,g,0.100571965188677
2021,06_HKC,Reference,passenger,bus,g,0.101587843624926
2022,06_HKC,Reference,passenger,bus,g,0.102613983459521
2023,06_HKC,Reference,passenger,bus,g,0.103650488342951
2024,06_HKC,Reference,passenger,bus,g,0.104697462972677
2025,06_HKC,Reference,passenger,bus,g,0.105755013103715
2026,06_HKC,Reference,passenger,bus,g,0.106823245559308
2027,06_HKC,Reference,passenger,bus,g,0.107902268241725
2028,06_HKC,Reference,passenger,bus,g,0.108992190143157
2029,06_HKC,Reference,passenger,bus,g,0.110093121356724
2030,06_HKC,Reference,passenger,bus,g,0.1112051730876
2031,06_HKC,Reference,passenger,bus,g,0.1112051730876
2032,06_HKC,Reference,passenger,bus,g,0.1112051730876
2033,06_HKC,Reference,passenger,bus,g,0.1112051730876
2034,06_HKC,Reference,passenger,bus,g,0.1112051730876
2035,06_HKC,Reference,passenger,bus,g,0.1112051730876
2036,06_HKC,Reference,passenger,bus,g,0.1112051730876
2037,06_HKC,Reference,passenger,bus,g,0.1112051730876
2038,06_HKC,Reference,passenger,bus,g,0.1112051730876
2039,06_HKC,Reference,passenger,bus,g,0.1112051730876
2040,06_HKC,Reference,passenger,bus,g,0.1112051730876
2041,06_HKC,Reference,passenger,bus,g,0.1112051730876
2042,06_HKC,Reference,passenger,bus,g,0.1112051730876
2043,06_HKC,Reference,passenger,bus,g,0.1112051730876
2044,06_HKC,Reference,passenger,bus,g,0.1112051730876
2045,06_HKC,Reference,passenger,bus,g,0.1112051730876
2046,06_HKC,Reference,passenger,bus,g,0.1112051730876
2047,06_HKC,Reference,passenger,bus,g,0.1112051730876
2048,06_HKC,Reference,passenger,bus,g,0.1112051730876
2049,06_HKC,Reference,passenger,bus,g,0.1112051730876
2050,06_HKC,Reference,passenger,bus,g,0.1112051730876
2018,06_HKC,Reference,passenger,bus,lpg,0.0965893153672055
2019,06_HKC,Reference,passenger,bus,lpg,0.0985605258849036
2020,06_HKC,Reference,passenger,bus,lpg,0.100571965188677
2021,06_HKC,Reference,passenger,bus,lpg,0.101587843624926
2022,06_HKC,Reference,passenger,bus,lpg,0.102613983459521
2023,06_HKC,Reference,passenger,bus,lpg,0.103650488342951
2024,06_HKC,Reference,passenger,bus,lpg,0.104697462972677
2025,06_HKC,Reference,passenger,bus,lpg,0.105755013103715
2026,06_HKC,Reference,passenger,bus,lpg,0.106823245559308
2027,06_HKC,Reference,passenger,bus,lpg,0.107902268241725
2028,06_HKC,Reference,passenger,bus,lpg,0.108992190143157
2029,06_HKC,Reference,passenger,bus,lpg,0.110093121356724
2030,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2031,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2032,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2033,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2034,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2035,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2036,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2037,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2038,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2039,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2040,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2041,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2042,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2043,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2044,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2045,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2046,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2047,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2048,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2049,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2050,06_HKC,Reference,passenger,bus,lpg,0.1112051730876
2018,06_HKC,Reference,passenger,bus,phevd,0.175616937031282
2019,06_HKC,Reference,passenger,bus,phevd,0.17920095615437
2020,06_HKC,Reference,passenger,bus,phevd,0.182858118524867
2021,06_HKC,Reference,passenger,bus,phevd,0.184705170227138
2022,06_HKC,Reference,passenger,bus,phevd,0.186570879017312
2023,06_HKC,Reference,passenger,bus,phevd,0.18845543335082
2024,06_HKC,Reference,passenger,bus,phevd,0.190359023586687
2025,06_HKC,Reference,passenger,bus,phevd,0.192281842006754
2026,06_HKC,Reference,passenger,bus,phevd,0.194224082835105
2027,06_HKC,Reference,passenger,bus,phevd,0.196185942257682
2028,06_HKC,Reference,passenger,bus,phevd,0.198167618442103
2029,06_HKC,Reference,passenger,bus,phevd,0.20016931155768
2030,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2031,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2032,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2033,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2034,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2035,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2036,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2037,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2038,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2039,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2040,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2041,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2042,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2043,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2044,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2045,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2046,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2047,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2048,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2049,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2050,06_HKC,Reference,passenger,bus,phevd,0.202191223795636
2018,07_INA,Carbon Neutral,passenger,bus,bev,0.340985471615984
2019,07_INA,Carbon Neutral,passenger,bus,bev,0.343043734066941
2020,07_INA,Carbon Neutral,passenger,bus,bev,0.345114420560231
2021,07_INA,Carbon Neutral,passenger,bus,bev,0.34563286991377
2022,07_INA,Carbon Neutral,passenger,bus,bev,0.346152098059123
2023,07_INA,Carbon Neutral,passenger,bus,bev,0.346672106192372
2024,07_INA,Carbon Neutral,passenger,bus,bev,0.347192895513435
2025,07_INA,Carbon Neutral,passenger,bus,bev,0.347714467226105
2026,07_INA,Carbon Neutral,passenger,bus,bev,0.348236822416805
2027,07_INA,Carbon Neutral,passenger,bus,bev,0.348759962417696
2028,07_INA,Carbon Neutral,passenger,bus,bev,0.349283888200356
2029,07_INA,Carbon Neutral,passenger,bus,bev,0.349808601104518
2030,07_INA,Carbon Neutral,passenger,bus,bev,0.350334102229921
2031,07_INA,Carbon Neutral,passenger,bus,bev,0.35086039292508
2032,07_INA,Carbon Neutral,passenger,bus,bev,0.351387474050162
2033,07_INA,Carbon Neutral,passenger,bus,bev,0.351915347084205
2034,07_INA,Carbon Neutral,passenger,bus,bev,0.352444013140691
2035,07_INA,Carbon Neutral,passenger,bus,bev,0.352973473335767
2036,07_INA,Carbon Neutral,passenger,bus,bev,0.353503728913227
2037,07_INA,Carbon Neutral,passenger,bus,bev,0.354034781121078
2038,07_INA,Carbon Neutral,passenger,bus,bev,0.354566631085846
2039,07_INA,Carbon Neutral,passenger,bus,bev,0.355099279936817
2040,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2041,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2042,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2043,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2044,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2045,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2046,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2047,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2048,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2049,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2050,07_INA,Carbon Neutral,passenger,bus,bev,0.355632729059009
2018,07_INA,Carbon Neutral,passenger,bus,cng,0.138054140387412
2019,07_INA,Carbon Neutral,passenger,bus,cng,0.13944862665084
2020,07_INA,Carbon Neutral,passenger,bus,cng,0.140857198643958
2021,07_INA,Carbon Neutral,passenger,bus,cng,0.141210224211
2022,07_INA,Carbon Neutral,passenger,bus,cng,0.141564134537498
2023,07_INA,Carbon Neutral,passenger,bus,cng,0.141918931882423
2024,07_INA,Carbon Neutral,passenger,bus,cng,0.142274618415539
2025,07_INA,Carbon Neutral,passenger,bus,cng,0.144432072535938
2026,07_INA,Carbon Neutral,passenger,bus,cng,0.145157861829677
2027,07_INA,Carbon Neutral,passenger,bus,cng,0.145887298321496
2028,07_INA,Carbon Neutral,passenger,bus,cng,0.146620400329561
2029,07_INA,Carbon Neutral,passenger,bus,cng,0.147357186270853
2030,07_INA,Carbon Neutral,passenger,bus,cng,0.148097674639578
2031,07_INA,Carbon Neutral,passenger,bus,cng,0.148468846751895
2032,07_INA,Carbon Neutral,passenger,bus,cng,0.148840949117396
2033,07_INA,Carbon Neutral,passenger,bus,cng,0.149213984078536
2034,07_INA,Carbon Neutral,passenger,bus,cng,0.149587953967361
2035,07_INA,Carbon Neutral,passenger,bus,cng,0.149962861127582
2036,07_INA,Carbon Neutral,passenger,bus,cng,0.150338707892127
2037,07_INA,Carbon Neutral,passenger,bus,cng,0.150715496628146
2038,07_INA,Carbon Neutral,passenger,bus,cng,0.151093229714901
2039,07_INA,Carbon Neutral,passenger,bus,cng,0.151471909475086
2040,07_INA,Carbon Neutral,passenger,bus,cng,0.151851538334666
2041,07_INA,Carbon Neutral,passenger,bus,cng,0.15223211861676
2042,07_INA,Carbon Neutral,passenger,bus,cng,0.152613652748515
2043,07_INA,Carbon Neutral,passenger,bus,cng,0.152996143123134
2044,07_INA,Carbon Neutral,passenger,bus,cng,0.153379592098864
2045,07_INA,Carbon Neutral,passenger,bus,cng,0.153764002092539
2046,07_INA,Carbon Neutral,passenger,bus,cng,0.154149375533388
2047,07_INA,Carbon Neutral,passenger,bus,cng,0.154535714839305
2048,07_INA,Carbon Neutral,passenger,bus,cng,0.154923022392413
2049,07_INA,Carbon Neutral,passenger,bus,cng,0.155311300634495
2050,07_INA,Carbon Neutral,passenger,bus,cng,0.155700552019865
2018,07_INA,Carbon Neutral,passenger,bus,d,0.153393489328758
2019,07_INA,Carbon Neutral,passenger,bus,d,0.154942918510536
2020,07_INA,Carbon Neutral,passenger,bus,d,0.156507998495736
2021,07_INA,Carbon Neutral,passenger,bus,d,0.156900249130718
2022,07_INA,Carbon Neutral,passenger,bus,d,0.157293482826865
2023,07_INA,Carbon Neutral,passenger,bus,d,0.157687702076662
2024,07_INA,Carbon Neutral,passenger,bus,d,0.158082909360595
2025,07_INA,Carbon Neutral,passenger,bus,d,0.16144877322411
2026,07_INA,Carbon Neutral,passenger,bus,d,0.164746182986748
2027,07_INA,Carbon Neutral,passenger,bus,d,0.16815041301962
2028,07_INA,Carbon Neutral,passenger,bus,d,0.171666549980907
2029,07_INA,Carbon Neutral,passenger,bus,d,0.175300007442291
2030,07_INA,Carbon Neutral,passenger,bus,d,0.179056552564424
2031,07_INA,Carbon Neutral,passenger,bus,d,0.182483833272715
2032,07_INA,Carbon Neutral,passenger,bus,d,0.186027932923068
2033,07_INA,Carbon Neutral,passenger,bus,d,0.189694869178781
2034,07_INA,Carbon Neutral,passenger,bus,d,0.193491080032186
2035,07_INA,Carbon Neutral,passenger,bus,d,0.197423461193971
2036,07_INA,Carbon Neutral,passenger,bus,d,0.201499407465804
2037,07_INA,Carbon Neutral,passenger,bus,d,0.20572685863954
2038,07_INA,Carbon Neutral,passenger,bus,d,0.210114350863049
2039,07_INA,Carbon Neutral,passenger,bus,d,0.214671073519187
2040,07_INA,Carbon Neutral,passenger,bus,d,0.219406933024362
2041,07_INA,Carbon Neutral,passenger,bus,d,0.224332623954168
2042,07_INA,Carbon Neutral,passenger,bus,d,0.229459709432122
2043,07_INA,Carbon Neutral,passenger,bus,d,0.230034796427413
2044,07_INA,Carbon Neutral,passenger,bus,d,0.235389183695128
2045,07_INA,Carbon Neutral,passenger,bus,d,0.235979131529088
2046,07_INA,Carbon Neutral,passenger,bus,d,0.236570557916343
2047,07_INA,Carbon Neutral,passenger,bus,d,0.237163466597283
2048,07_INA,Carbon Neutral,passenger,bus,d,0.237757861218612
2049,07_INA,Carbon Neutral,passenger,bus,d,0.238353745614809
2050,07_INA,Carbon Neutral,passenger,bus,d,0.238951123412947
2018,07_INA,Carbon Neutral,passenger,bus,fcev,0.188109172343986
2019,07_INA,Carbon Neutral,passenger,bus,fcev,0.18943521887088
2020,07_INA,Carbon Neutral,passenger,bus,fcev,0.190770613158836
2021,07_INA,Carbon Neutral,passenger,bus,fcev,0.191105047004829
2022,07_INA,Carbon Neutral,passenger,bus,fcev,0.191440067110877
2023,07_INA,Carbon Neutral,passenger,bus,fcev,0.191775674537858
2024,07_INA,Carbon Neutral,passenger,bus,fcev,0.192111870313827
2025,07_INA,Carbon Neutral,passenger,bus,fcev,0.19414444130661
2026,07_INA,Carbon Neutral,passenger,bus,fcev,0.194826333449723
2027,07_INA,Carbon Neutral,passenger,bus,fcev,0.195510620649249
2028,07_INA,Carbon Neutral,passenger,bus,fcev,0.196197311208886
2029,07_INA,Carbon Neutral,passenger,bus,fcev,0.196886413682598
2030,07_INA,Carbon Neutral,passenger,bus,fcev,0.197577936453026
2031,07_INA,Carbon Neutral,passenger,bus,fcev,0.197924303973845
2032,07_INA,Carbon Neutral,passenger,bus,fcev,0.198271278708731
2033,07_INA,Carbon Neutral,passenger,bus,fcev,0.198618861717297
2034,07_INA,Carbon Neutral,passenger,bus,fcev,0.198967054062836
2035,07_INA,Carbon Neutral,passenger,bus,fcev,0.199315856812347
2036,07_INA,Carbon Neutral,passenger,bus,fcev,0.199665271036571
2037,07_INA,Carbon Neutral,passenger,bus,fcev,0.200015297810025
2038,07_INA,Carbon Neutral,passenger,bus,fcev,0.200365938211032
2039,07_INA,Carbon Neutral,passenger,bus,fcev,0.200717193281468
2040,07_INA,Carbon Neutral,passenger,bus,fcev,0.201069064147379
2041,07_INA,Carbon Neutral,passenger,bus,fcev,0.201421551858139
2042,07_INA,Carbon Neutral,passenger,bus,fcev,0.201774657547925
2043,07_INA,Carbon Neutral,passenger,bus,fcev,0.202128382192035
2044,07_INA,Carbon Neutral,passenger,bus,fcev,0.202482726973058
2045,07_INA,Carbon Neutral,passenger,bus,fcev,0.202837692914198
2046,07_INA,Carbon Neutral,passenger,bus,fcev,0.203193281165449
2047,07_INA,Carbon Neutral,passenger,bus,fcev,0.20354949279863
2048,07_INA,Carbon Neutral,passenger,bus,fcev,0.20390632884755
2049,07_INA,Carbon Neutral,passenger,bus,fcev,0.204263790515929
2050,07_INA,Carbon Neutral,passenger,bus,fcev,0.204621878803522
2018,07_INA,Carbon Neutral,passenger,bus,g,0.138054140387412
2019,07_INA,Carbon Neutral,passenger,bus,g,0.13944862665084
2020,07_INA,Carbon Neutral,passenger,bus,g,0.140857198643958
2021,07_INA,Carbon Neutral,passenger,bus,g,0.141210224211
2022,07_INA,Carbon Neutral,passenger,bus,g,0.141564134537498
2023,07_INA,Carbon Neutral,passenger,bus,g,0.141918931882423
2024,07_INA,Carbon Neutral,passenger,bus,g,0.142274618415539
2025,07_INA,Carbon Neutral,passenger,bus,g,0.146631545717357
2026,07_INA,Carbon Neutral,passenger,bus,g,0.150578694854765
2027,07_INA,Carbon Neutral,passenger,bus,g,0.15470551255089
2028,07_INA,Carbon Neutral,passenger,bus,g,0.15902429536768
2029,07_INA,Carbon Neutral,passenger,bus,g,0.163548486414863
2030,07_INA,Carbon Neutral,passenger,bus,g,0.168292812091562
2031,07_INA,Carbon Neutral,passenger,bus,g,0.172839169669912
2032,07_INA,Carbon Neutral,passenger,bus,g,0.177614497764623
2033,07_INA,Carbon Neutral,passenger,bus,g,0.182636455434161
2034,07_INA,Carbon Neutral,passenger,bus,g,0.187924565297213
2035,07_INA,Carbon Neutral,passenger,bus,g,0.193500465982307
2036,07_INA,Carbon Neutral,passenger,bus,g,0.199388206757142
2037,07_INA,Carbon Neutral,passenger,bus,g,0.205614592964263
2038,07_INA,Carbon Neutral,passenger,bus,g,0.212209592297651
2039,07_INA,Carbon Neutral,passenger,bus,g,0.212741445920579
2040,07_INA,Carbon Neutral,passenger,bus,g,0.213274632465217
2041,07_INA,Carbon Neutral,passenger,bus,g,0.213809155380001
2042,07_INA,Carbon Neutral,passenger,bus,g,0.214345017902645
2043,07_INA,Carbon Neutral,passenger,bus,g,0.214882223470187
2044,07_INA,Carbon Neutral,passenger,bus,g,0.215420775398963
2045,07_INA,Carbon Neutral,passenger,bus,g,0.215960677114546
2046,07_INA,Carbon Neutral,passenger,bus,g,0.216501931919916
2047,07_INA,Carbon Neutral,passenger,bus,g,0.217044543321922
2048,07_INA,Carbon Neutral,passenger,bus,g,0.217588514562755
2049,07_INA,Carbon Neutral,passenger,bus,g,0.218133849231636
2050,07_INA,Carbon Neutral,passenger,bus,g,0.218680550603853
2018,07_INA,Carbon Neutral,passenger,bus,lpg,0.138054140387412
2019,07_INA,Carbon Neutral,passenger,bus,lpg,0.13944862665084
2020,07_INA,Carbon Neutral,passenger,bus,lpg,0.140857198643958
2021,07_INA,Carbon Neutral,passenger,bus,lpg,0.141210224211
2022,07_INA,Carbon Neutral,passenger,bus,lpg,0.141564134537498
2023,07_INA,Carbon Neutral,passenger,bus,lpg,0.141918931882423
2024,07_INA,Carbon Neutral,passenger,bus,lpg,0.142274618415539
2025,07_INA,Carbon Neutral,passenger,bus,lpg,0.144432072535938
2026,07_INA,Carbon Neutral,passenger,bus,lpg,0.145157861829677
2027,07_INA,Carbon Neutral,passenger,bus,lpg,0.145887298321496
2028,07_INA,Carbon Neutral,passenger,bus,lpg,0.146620400329561
2029,07_INA,Carbon Neutral,passenger,bus,lpg,0.147357186270853
2030,07_INA,Carbon Neutral,passenger,bus,lpg,0.148097674639578
2031,07_INA,Carbon Neutral,passenger,bus,lpg,0.148468846751895
2032,07_INA,Carbon Neutral,passenger,bus,lpg,0.148840949117396
2033,07_INA,Carbon Neutral,passenger,bus,lpg,0.149213984078536
2034,07_INA,Carbon Neutral,passenger,bus,lpg,0.149587953967361
2035,07_INA,Carbon Neutral,passenger,bus,lpg,0.149962861127582
2036,07_INA,Carbon Neutral,passenger,bus,lpg,0.150338707892127
2037,07_INA,Carbon Neutral,passenger,bus,lpg,0.150715496628146
2038,07_INA,Carbon Neutral,passenger,bus,lpg,0.151093229714901
2039,07_INA,Carbon Neutral,passenger,bus,lpg,0.151471909475086
2040,07_INA,Carbon Neutral,passenger,bus,lpg,0.151851538334666
2041,07_INA,Carbon Neutral,passenger,bus,lpg,0.15223211861676
2042,07_INA,Carbon Neutral,passenger,bus,lpg,0.152613652748515
2043,07_INA,Carbon Neutral,passenger,bus,lpg,0.152996143123134
2044,07_INA,Carbon Neutral,passenger,bus,lpg,0.153379592098864
2045,07_INA,Carbon Neutral,passenger,bus,lpg,0.153764002092539
2046,07_INA,Carbon Neutral,passenger,bus,lpg,0.154149375533388
2047,07_INA,Carbon Neutral,passenger,bus,lpg,0.154535714839305
2048,07_INA,Carbon Neutral,passenger,bus,lpg,0.154923022392413
2049,07_INA,Carbon Neutral,passenger,bus,lpg,0.155311300634495
2050,07_INA,Carbon Neutral,passenger,bus,lpg,0.155700552019865
2018,07_INA,Carbon Neutral,passenger,bus,phevd,0.215709594366498
2019,07_INA,Carbon Neutral,passenger,bus,phevd,0.217888479153332
2020,07_INA,Carbon Neutral,passenger,bus,phevd,0.220089372888935
2021,07_INA,Carbon Neutral,passenger,bus,phevd,0.220640975333582
2022,07_INA,Carbon Neutral,passenger,bus,phevd,0.221193960218755
2023,07_INA,Carbon Neutral,passenger,bus,phevd,0.221748331058418
2024,07_INA,Carbon Neutral,passenger,bus,phevd,0.222304091286141
2025,07_INA,Carbon Neutral,passenger,bus,phevd,0.225675113341477
2026,07_INA,Carbon Neutral,passenger,bus,phevd,0.226809159145908
2027,07_INA,Carbon Neutral,passenger,bus,phevd,0.227948903658514
2028,07_INA,Carbon Neutral,passenger,bus,phevd,0.229094375521237
2029,07_INA,Carbon Neutral,passenger,bus,phevd,0.230245603560932
2030,07_INA,Carbon Neutral,passenger,bus,phevd,0.231402616630766
2031,07_INA,Carbon Neutral,passenger,bus,phevd,0.231982573075668
2032,07_INA,Carbon Neutral,passenger,bus,phevd,0.232563983002422
