,date,vehicle_type,transport_type,measure,comment,frequency,fuel,scope,economy,medium,unit,dataset,drive,value
66,2005,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
67,2006,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
68,2007,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
69,2008,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
70,2009,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
71,2010,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
72,2011,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
73,2012,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
74,2013,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
75,2014,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
76,2015,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
77,2016,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
78,2017,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
79,2018,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
80,2019,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
81,2020,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
82,2021,bus,passenger,stocks,no_comment,yearly,all,national,01_AUS,road,stocks,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
