date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency,fuel,comment,scope,dataset,value
2022,09_ROK,stocks,car,stocks,road,passenger,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,1069716.567655158
2017,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,4836.4397743020445
2017,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,2696905.612033477
2017,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,138934.27345654924
2018,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,5169.422470373516
2018,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,2782183.520083849
2018,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,154507.27875228916
2019,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,5252.116848536961
2019,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,2846533.1349086165
2019,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,168924.92545025982
2020,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,5295.43295138448
2020,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,2943379.5926813013
2020,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,179685.59047619105
2021,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,5441.762622458461
2021,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,3019252.3934552176
2021,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,190250.30920415022
2022,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,5524.141974419378
2022,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,3094813.4758017333
2022,09_ROK,stocks,car,stocks,road,passenger,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer_no_data ice_split,199996.43234484195
2017,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,3079.5122540184775
2017,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,17968.77399730637
2018,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,3219.5948207857286
2018,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,17762.90743272538
2019,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,3284.6374197741557
2019,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,17881.963455328223
2020,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,3390.454510656254
2020,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,17052.83328110172
2021,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,3428.0457153712846
2021,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,16343.341089628251
2022,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,3416.340908408846
2022,09_ROK,stocks,lcv,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,15950.882590781775
2017,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,18476.121293976666
2017,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,107807.08777666528
2018,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,19316.57337900603
2018,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,106571.95204612573
2019,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,19706.808860815694
2019,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,107286.25136788299
2020,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,20341.67868591939
2020,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,102311.72670167494
2021,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,20567.214290460433
2021,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,98054.9929381747
2022,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,20496.989067982948
2022,09_ROK,stocks,lcv,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical ice_split,95700.36329899161
2020,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2020,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2020,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2021,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2021,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2021,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2022,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2022,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2022,09_ROK,stocks,ht,stocks,road,freight,ice_g,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,0.0
2020,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,20034.379619401192
2020,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,1893940.366426913
2020,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,255148.3933368152
2021,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,20279.776920001208
2021,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,1895885.5450297128
2021,09_ROK,stocks,ht,stocks,road,freight,ice_d,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split ice_split,262995.70701541565
