Transport Type,,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger
Vehicle Type,,HT,HT,HT,HT,HT,HT,HT,LT,LT,LT,LT,LT,LT,LT,2W,2W,BUS,BUS,BUS,BUS,BUS,BUS,BUS,LT,LT,LT,LT,LT,LT,LT,LV,LV,LV,LV,LV,LV,LV
Drive,,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,G,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,CNG,FCEV,D,G,LPG,PHEVG
Economy,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_AUS,2039,3.350660711,11.30683666,6.010358631,7.076342679,4.370509489,11.30683666,6.119871987,1.692239037,2.974602447,2.946151699,1.604662609,2.12008029,2.974602447,1.886919532,0.475714226,1.271237181,3.207673067,9.955860371,5.670564312,6.137005155,3.222078447,9.955860371,3.601338476,1.692239037,2.974602447,2.946151699,1.604662609,2.12008029,2.974602447,1.886919532,0.900459071,2.280118818,1.591842736,1.432734472,1.702488718,2.280118818,1.302925039
01_AUS,2040,3.350660711,11.25030248,6.001343094,7.040960966,4.134956575,11.25030248,6.089272627,1.692239037,2.944856423,2.940995933,1.588615983,2.058722354,2.944856423,1.868050337,0.475000655,1.262974139,3.202861557,9.906081069,5.650717337,5.989490025,3.205968055,9.906081069,3.583331784,1.692239037,2.944856423,2.940995933,1.588615983,2.058722354,2.944856423,1.868050337,0.899108382,2.25731763,1.586271286,1.418407127,1.653216436,2.25731763,1.289895789
01_AUS,2041,3.350660711,11.22217672,5.996842086,7.023358563,3.911453067,11.22217672,6.074049446,1.692239037,2.930132141,2.940995933,1.580672903,2.008472395,2.930132141,1.858710085,0.475000655,1.258869473,3.202861557,9.881315867,5.640828582,5.857978271,3.197953135,9.881315867,3.574373454,1.692239037,2.930132141,2.940995933,1.580672903,2.008472395,2.930132141,1.858710085,0.899108382,2.246031042,1.583495312,1.411315092,1.612864196,2.246031042,1.28344631
01_AUS,2042,3.350660711,11.19412128,5.992344455,7.005800167,3.689041233,11.19412128,6.058864322,1.692239037,2.91548148,2.940995933,1.572769538,1.958673467,2.91548148,1.849416535,0.475000655,1.254778148,3.202861557,9.856612577,5.630957132,5.727086641,3.189958252,9.856612577,3.565437521,1.692239037,2.91548148,2.940995933,1.572769538,1.958673467,2.91548148,1.849416535,0.899108382,2.234800887,1.580724195,1.404258516,1.572874148,2.234800887,1.277029078
01_AUS,2043,3.350660711,11.16613598,5.987850196,6.988285666,3.67981863,11.16613598,6.043717161,1.692239037,2.900904073,2.940995933,1.564905691,1.9488801,2.900904073,1.840169452,0.475000655,1.250700119,3.202861557,9.831971046,5.621102957,5.712768924,3.181983357,9.831971046,3.556523927,1.692239037,2.900904073,2.940995933,1.564905691,1.9488801,2.900904073,1.840169452,0.899108382,2.223626882,1.577957928,1.397237224,1.565009777,2.223626882,1.270643933
01_AUS,2044,3.350660711,11.13822064,5.983359309,6.970814952,3.45904772,11.13822064,6.028607868,1.692239037,2.886399552,2.940995933,1.557081162,1.899775705,2.886399552,1.830968605,0.475000655,1.246635343,3.202861557,9.807391118,5.611266027,5.582820825,3.174028398,9.807391118,3.547632617,1.692239037,2.886399552,2.940995933,1.557081162,1.899775705,2.886399552,1.830968605,0.899108382,2.212508748,1.575196501,1.390251038,1.52557746,2.212508748,1.264290713
01_AUS,2045,3.350660711,11.11037508,5.978871789,6.953387915,3.4504001,11.11037508,6.013536349,1.692239037,2.871967555,2.940995933,1.549295756,1.890276827,2.871967555,1.821813762,0.475000655,1.242583778,3.202861557,9.78287264,5.601446311,5.568863772,3.166093327,9.78287264,3.538763536,1.692239037,2.871967555,2.940995933,1.549295756,1.890276827,2.871967555,1.821813762,0.899108382,2.201446204,1.572439907,1.383299782,1.517949573,2.201446204,1.257969259
01_AUS,2046,3.350660711,11.08259915,5.974387635,6.936004445,3.4417741,11.08259915,5.998502508,1.692239037,2.857607717,2.940995933,1.541549278,1.880825443,2.857607717,1.812704693,0.475000655,1.238545381,3.202861557,9.758415459,5.59164378,5.554941613,3.158178094,9.758415459,3.529916627,1.692239037,2.857607717,2.940995933,1.541549278,1.880825443,2.857607717,1.812704693,0.899108382,2.190438973,1.569688137,1.376383284,1.510359825,2.190438973,1.251679413
01_AUS,2047,3.350660711,11.05489265,5.969906845,6.918664434,3.433169665,11.05489265,5.983506252,1.692239037,2.843319678,2.940995933,1.533841531,1.871421316,2.843319678,1.80364117,0.475000655,1.234520109,3.202861557,9.73401942,5.581858404,5.541054259,3.150282649,9.73401942,3.521091835,1.692239037,2.843319678,2.940995933,1.533841531,1.871421316,2.843319678,1.80364117,0.899108382,2.179486778,1.566941183,1.369501367,1.502808026,2.179486778,1.245421016
01_AUS,2048,3.350660711,11.02725542,5.965429414,6.901367773,3.424586741,11.02725542,5.968547486,1.692239037,2.82910308,2.940995933,1.526172324,1.862064209,2.82910308,1.794622964,0.475000655,1.230507918,3.202861557,9.709684371,5.572090151,5.527201623,3.142406942,9.709684371,3.512289106,1.692239037,2.82910308,2.940995933,1.526172324,1.862064209,2.82910308,1.794622964,0.899108382,2.168589344,1.564199036,1.36265386,1.495293986,2.168589344,1.239193911
