transport_type,vehicle_sub_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,01_AUS,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,02_BD,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,03_CDA,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,04_CHL,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,05_PRC,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,06_HKC,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,07_INA,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,08_JPN,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,09_ROK,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,10_MAS,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,11_MEX,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,12_NZ,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,13_PNG,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,14_PE,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,15_RP,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,16_RUS,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,17_SIN,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,18_CT,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,19_THA,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,20_USA,Yearly
passenger,urban,bus,ice,Km_per_MJ,road,national,2019-12-31,Efficiency,488.79558,21_VN,Yearly
