transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,01_AUS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,01_AUS,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,02_BD,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,02_BD,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,02_BD,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,02_BD,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,02_BD,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,02_BD,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,03_CDA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,03_CDA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,03_CDA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,03_CDA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,03_CDA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,03_CDA,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,04_CHL,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,04_CHL,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,04_CHL,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,04_CHL,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,04_CHL,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,04_CHL,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,05_PRC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,05_PRC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,ice,05_PRC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,phev,05_PRC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,cng,05_PRC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,lpg,05_PRC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,bev,06_HKC,Yearly
freight,heavy truck,ht,mileage,road,national,2019-12-31,Mileage,62751.0,fcev,06_HKC,Yearly
