transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,09_ROK,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,09_ROK,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,09_ROK,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,09_ROK,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,10_MAS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,10_MAS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,10_MAS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,10_MAS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,10_MAS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,10_MAS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,11_MEX,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,11_MEX,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,11_MEX,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,11_MEX,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,11_MEX,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,11_MEX,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,12_NZ,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,12_NZ,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,12_NZ,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,12_NZ,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,12_NZ,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,12_NZ,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,13_PNG,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,13_PNG,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,13_PNG,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,13_PNG,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,13_PNG,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,13_PNG,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,14_PE,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,14_PE,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,14_PE,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,14_PE,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,14_PE,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,14_PE,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,15_RP,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,15_RP,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,15_RP,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,15_RP,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,15_RP,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,15_RP,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,16_RUS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,16_RUS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,16_RUS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,16_RUS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,16_RUS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,16_RUS,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,17_SIN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,17_SIN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,17_SIN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,17_SIN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,17_SIN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,17_SIN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,18_CT,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,18_CT,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,18_CT,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,18_CT,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,18_CT,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,18_CT,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,19_THA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,19_THA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,19_THA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,19_THA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,19_THA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,19_THA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,20_USA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,20_USA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,20_USA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,20_USA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,20_USA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,20_USA,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,21_VN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,ice,21_VN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,fcev,21_VN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,phev,21_VN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,cng,21_VN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,lpg,21_VN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,01_AUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,01_AUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,01_AUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,01_AUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,01_AUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,01_AUS,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,02_BD,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,02_BD,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,02_BD,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,02_BD,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,02_BD,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,02_BD,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,03_CDA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,03_CDA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,03_CDA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,03_CDA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,03_CDA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,03_CDA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,04_CHL,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,04_CHL,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,04_CHL,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,04_CHL,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,04_CHL,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,04_CHL,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,05_PRC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,05_PRC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,05_PRC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,05_PRC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,05_PRC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,05_PRC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,06_HKC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,06_HKC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,06_HKC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,06_HKC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,06_HKC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,06_HKC,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,07_INA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,07_INA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,07_INA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,phev,07_INA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,cng,07_INA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,lpg,07_INA,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,bev,08_JPN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,ice,08_JPN,Yearly
passenger,light truck,ldv,passengers,road,national,2019-12-31,Occupancy,1.82,fcev,08_JPN,Yearly
