transport_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,03_CDA,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,04_CHL,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,05_PRC,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,06_HKC,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,07_INA,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,08_JPN,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,09_ROK,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,10_MAS,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,11_MEX,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,12_NZ,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,13_PNG,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,14_PE,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,15_RP,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,16_RUS,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,17_SIN,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,18_CT,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,19_THA,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,20_USA,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,21_VN,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,01_AUS,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,02_BD,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,03_CDA,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,04_CHL,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,05_PRC,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,06_HKC,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,07_INA,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,08_JPN,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,09_ROK,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,10_MAS,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,11_MEX,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,12_NZ,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,13_PNG,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,14_PE,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,15_RP,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,16_RUS,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,17_SIN,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,18_CT,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,19_THA,Yearly
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,57201483.28942536,20_USA,Yearly
