transport_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,16_RUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,16_RUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,16_RUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,16_RUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,17_SIN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,18_CT,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,19_THA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,19_THA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,19_THA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,19_THA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,19_THA,Yearly
