,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,scenario,unit.1,dataset,value,dataset_selection_method,comment
49,2019,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
50,2020,07_INA,mileage,2w,km_per_stock,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
51,2020,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,15.56,,,manually_inputted_data $ guess,1.1,manual,no_comment
52,2020,07_INA,stocks,2w,stocks,road,passenger,bev,all,yearly,national,['ato  country_official_statistics $ iea_ev_explorer_no_data'],1,5343.0,,,ato  country_official_statistics $ iea_ev_explorer_no_data,0.0,manual,no_comment
53,2020,07_INA,average_age,2w,age,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,13.0,,,manually_inputted_data $ guess,1.0,single_datapoint,no_comment
54,2020,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
55,2021,07_INA,mileage,2w,km_per_stock,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,97500.0,,,manually_inputted_data $ guess,7500.0,single_datapoint,no_comment
56,2021,07_INA,occupancy_or_load,2w,passengers_or_tonnes,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,15.56,,,manually_inputted_data $ guess,1.1,manual,no_comment
57,2021,07_INA,average_age,2w,age,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,13.0,,,manually_inputted_data $ guess,1.0,single_datapoint,no_comment
58,2021,07_INA,efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,,,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
