,Date,Economy,Measure,Vehicle Type,Unit,Medium,Transport Type,Drive,Fuel_Type,Frequency,Scope,level_0,index,Final_dataset_selection_method,Value,Dataset
59,2019-12-31,19_THA,freight_tonne_km,,freight_tonne_km,ship,freight,,,Yearly,National,14183.0,14543.0,interpolation,7808170000.0,
60,2010-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,0.0,not enough values to interpolate,,
61,2011-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,1177.0,not enough values to interpolate,,
62,2012-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,2354.0,not enough values to interpolate,,
63,2013-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,3531.0,not enough values to interpolate,,
64,2014-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,4708.0,not enough values to interpolate,,
65,2015-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,5885.0,not enough values to interpolate,,
66,2016-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,7062.0,not enough values to interpolate,,
67,2017-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,8239.0,Manual,0.000211180407022,8th edition transport model $ Reference
68,2018-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,9416.0,not enough values to interpolate,,
69,2019-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,10593.0,not enough values to interpolate,,
70,2020-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,11770.0,not enough values to interpolate,,
71,2021-12-31,01_AUS,Energy,2w,PJ,road,passenger,bev,,Yearly,National,,12947.0,not enough values to interpolate,,
72,2010-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,1.0,not enough values to interpolate,,
73,2011-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,1178.0,not enough values to interpolate,,
74,2012-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,2355.0,not enough values to interpolate,,
75,2013-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,3532.0,not enough values to interpolate,,
76,2014-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,4709.0,not enough values to interpolate,,
77,2015-12-31,01_AUS,Energy,bus,PJ,road,passenger,lpg,,Yearly,National,,5886.0,not enough values to interpolate,,
