,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
83,2020,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,266.7231980718799,9th_outlook_esto,0.0,manual,no_comment
84,2021,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
85,2021,15_PHL,travel_km,2w,km,road,passenger,ice_g,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,127086060000.0,estimated $ calculate_energy_and_activity(),63543030000.0,single_datapoint,no_comment
86,2021,15_PHL,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_g,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,157532970220.0,estimated $ calculate_energy_and_activity(),69897333000.0,single_datapoint,no_comment
87,2021,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,"['9th_outlook_esto', 'estimated $ calculate_energy_and_activity()']",2,266.7231980718799,estimated $ calculate_energy_and_activity(),117.97368526014306,manual,no_comment
88,2022,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
89,2022,15_PHL,travel_km,2w,km,road,passenger,ice_g,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,127086060000.0,estimated $ calculate_energy_and_activity(),63543030000.0,single_datapoint,no_comment
90,2022,15_PHL,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_g,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,157532970220.0,estimated $ calculate_energy_and_activity(),69897333000.0,single_datapoint,no_comment
91,2022,15_PHL,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,266.7231980718799,estimated $ calculate_energy_and_activity(),117.97368526014306,manual,no_comment
92,2010,15_PHL,activity,all,passenger_km_or_freight_tonne_km,air,freight,all,all,yearly,national,['ato $ world_bank_(wb)'],1,7137344963.1741,ato $ world_bank_(wb),460194054.824,manual,no_comment
93,2010,15_PHL,energy,all,pj,ship,passenger,all,all,yearly,national,['9th_outlook_esto'],1,134.55290809850064,9th_outlook_esto,0.0,manual,no_comment
94,2010,15_PHL,energy,all,pj,air,passenger,all,all,yearly,national,['9th_outlook_esto'],1,94.0816722577227,9th_outlook_esto,0.0,manual,no_comment
95,2010,15_PHL,energy,all,pj,ship,freight,all,all,yearly,national,['9th_outlook_esto'],1,67.27969631163467,9th_outlook_esto,0.0,manual,no_comment
96,2010,15_PHL,energy,all,pj,rail,passenger,all,all,yearly,national,['9th_outlook_esto'],1,2.3952974768950552,9th_outlook_esto,0.0,manual,no_comment
97,2010,15_PHL,energy,all,pj,rail,freight,all,all,yearly,national,['9th_outlook_esto'],1,0.2661441647855855,9th_outlook_esto,0.0,manual,no_comment
98,2010,15_PHL,energy,all,pj,air,freight,all,all,yearly,national,['9th_outlook_esto'],1,13.071292256523895,9th_outlook_esto,0.0,manual,no_comment
99,2011,15_PHL,energy,all,pj,ship,passenger,all,all,yearly,national,['9th_outlook_esto'],1,134.55290809850064,9th_outlook_esto,0.0,manual,no_comment
100,2011,15_PHL,energy,all,pj,air,passenger,all,all,yearly,national,['9th_outlook_esto'],1,94.0816722577227,9th_outlook_esto,0.0,manual,no_comment
