,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
1511,2012,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),27000000.0,single_datapoint,no_comment
1512,2012,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),0.01968099173553719,single_datapoint,no_comment
1513,2013,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),34875000.0,single_datapoint,no_comment
1514,2013,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1515,2013,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),0.0381319214876033,single_datapoint,no_comment
1516,2013,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),52312500.0,single_datapoint,no_comment
1517,2014,05_PRC,travel_km,suv,km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,29980483399.05827,estimated $ calculate_energy_and_activity(),66375000.0,single_datapoint,no_comment
1518,2014,05_PRC,new_vehicle_efficiency,suv,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,25265495086.923656,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,1028911564.62585,manual,usa_data
1519,2014,05_PRC,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,44970725098.5874,estimated $ calculate_energy_and_activity(),99562500.0,single_datapoint,no_comment
1520,2014,05_PRC,energy,suv,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_activity()'],1,32.780313666904206,estimated $ calculate_energy_and_activity(),0.07257365702479338,single_datapoint,no_comment
