,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,dataset,value,dataset_selection_method,comment
35,2017,01_AUS,passenger_km,ldv,passenger_km,road,passenger,cng,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,1428455107.9924774,single_datapoint,no_comment
36,2017,01_AUS,energy,ldv,pj,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,194.6825043032429,single_datapoint,no_comment
37,2017,01_AUS,passenger_km,ldv,passenger_km,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,estimated $ calculate_energy_and_passenger_km(),4.586782285727073e+19,single_datapoint,no_comment
38,2017,01_AUS,energy,ldv,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,557.740376961768,single_datapoint,no_comment
39,2017,01_AUS,passenger_km,ldv,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,237025723929.51315,single_datapoint,no_comment
40,2017,01_AUS,energy,ldv,pj,road,passenger,lpg,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,27.309988822489117,single_datapoint,no_comment
41,2017,01_AUS,passenger_km,ldv,passenger_km,road,passenger,lpg,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,13477272601.07518,single_datapoint,no_comment
42,2017,01_AUS,energy,ldv,pj,road,passenger,phevg,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,0.0359093894210376,single_datapoint,no_comment
43,2017,01_AUS,passenger_km,ldv,passenger_km,road,passenger,phevg,all,yearly,national,"['8th_edition_transport_model $ reference', 'bus_passenger_km_est $ 8th/ato_country_official_statistics', 'estimated $ calculate_energy_and_passenger_km()', 'passenger_km_est $ 8th/_passenger_km_est']",4,bus_passenger_km_est $ 8th/ato_country_official_statistics,39376512.7544883,single_datapoint,no_comment
44,2017,02_BD,energy,2w,pj,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,9.131019177702978e-07,single_datapoint,no_comment
45,2017,02_BD,passenger_km,2w,passenger_km,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,4301.6915983075,single_datapoint,no_comment
46,2017,02_BD,energy,2w,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,0.0088142133705695,single_datapoint,no_comment
47,2017,02_BD,passenger_km,2w,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,13769616.2080579,single_datapoint,no_comment
48,2017,02_BD,energy,bus,pj,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,0.4191356181752973,single_datapoint,no_comment
49,2017,02_BD,passenger_km,bus,passenger_km,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,723537087.4881507,single_datapoint,no_comment
50,2017,02_BD,energy,bus,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,0.0410594119183568,single_datapoint,no_comment
51,2017,02_BD,passenger_km,bus,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,estimated $ calculate_energy_and_passenger_km(),8.278072820129083e+16,single_datapoint,no_comment
52,2017,02_BD,energy,ldv,pj,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,0.0005441692755616,single_datapoint,no_comment
53,2017,02_BD,passenger_km,ldv,passenger_km,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,1361924.3248663,single_datapoint,no_comment
54,2017,02_BD,energy,ldv,pj,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,3.135099455055718,single_datapoint,no_comment
55,2017,02_BD,passenger_km,ldv,passenger_km,road,passenger,d,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,1209754177.301293,single_datapoint,no_comment
56,2017,02_BD,energy,ldv,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,11.809721386792129,single_datapoint,no_comment
57,2017,02_BD,passenger_km,ldv,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,4252319780.9094944,single_datapoint,no_comment
58,2017,03_CDA,energy,2w,pj,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,5.139170305750572,single_datapoint,no_comment
59,2017,03_CDA,passenger_km,2w,passenger_km,road,passenger,g,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,3268245667.0,single_datapoint,no_comment
60,2017,03_CDA,energy,bus,pj,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,4.3483541216247925,Manual,no_comment
61,2017,03_CDA,passenger_km,bus,passenger_km,road,passenger,bev,all,yearly,national,"['8th_edition_transport_model $ reference', 'estimated $ calculate_energy_and_passenger_km()']",2,8th_edition_transport_model $ reference,13194653770.0,Manual,no_comment
62,2018,03_CDA,energy,bus,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),5434654.665276844,Manual,no_comment
63,2018,03_CDA,passenger_km,bus,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),6636429687023316.0,Manual,no_comment
64,2019,03_CDA,energy,bus,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),19450343.012569755,Manual,no_comment
65,2019,03_CDA,passenger_km,bus,passenger_km,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),2.3751432564083444e+16,Manual,no_comment
66,2020,03_CDA,energy,bus,pj,road,passenger,bev,all,yearly,national,['estimated $ calculate_energy_and_passenger_km()'],1,estimated $ calculate_energy_and_passenger_km(),76657234.22601022,Manual,no_comment
