Date,Vehicle Type,Transport Type,Drive,Measure,Comment,Dataset,Frequency,Fuel,Scope,Economy,Medium,Unit,Value
2020-12-31,ht,freight,ice_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,ht,freight,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,177000.7657468356
2020-12-31,ht,freight,ice_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,ht,freight,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,5045.784033842947
2020-12-31,ht,freight,lpg,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,ht,freight,phev_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,ht,freight,phev_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,lcv,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,1791848.0
2020-12-31,lcv,freight,bev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,lcv,freight,cng,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2020-12-31,lcv,freight,fcev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,lcv,freight,ice_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2020-12-31,lcv,freight,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,84189.5
2020-12-31,lcv,freight,ice_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2020-12-31,lcv,freight,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,3355.0
2020-12-31,lcv,freight,lpg,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,10.9
2020-12-31,lcv,freight,phev_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,lcv,freight,phev_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,lt,passenger,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,1864068.0
2020-12-31,lt,passenger,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,84189.5
2020-12-31,lt,passenger,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,3355.0
2020-12-31,mt,freight,all,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,176056.0
2020-12-31,mt,freight,bev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,mt,freight,cng,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,mt,freight,fcev,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,mt,freight,ice_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,mt,freight,ice_d,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,170491.2342531644
2020-12-31,mt,freight,ice_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,mt,freight,ice_g,stocks,no_comment,AUS_census,Yearly,all,National,01_AUS,road,stocks,4860.215966157053
2020-12-31,mt,freight,lpg,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,15.7
2020-12-31,mt,freight,phev_d,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
2020-12-31,mt,freight,phev_g,average_age,no_comment,AUS_census,Yearly,all,National,01_AUS,road,age,1.0
