Unit,Date,Value,Economy,Measure,Frequency,Dataset,Source
GDP_billions_USD_current,1985-12-31,4.794,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1985-12-31,12.344,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1986-12-31,0.581,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1986-12-31,3.266,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1986-12-31,12.25,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1987-12-31,0.632,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1987-12-31,3.843,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1987-12-31,12.806,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1988-12-31,0.55,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1988-12-31,3.661,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1988-12-31,13.403,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1989-12-31,0.577,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1989-12-31,4.078,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1989-12-31,13.779,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1990-12-31,0.613,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1990-12-31,4.886,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1990-12-31,14.45,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1991-12-31,0.585,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1991-12-31,5.215,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1991-12-31,15.409,02_BD,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1992-12-31,0.541,02_BD,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1992-12-31,5.484,02_BD,GDP_current,Yearly,IMF,GDP_billions_USD_current
