,vehicle_type,date,transport_type,economy,medium,measure,unit,fuel,comment,scope,frequency,dataset,drive,value
12226,suv,2010,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12227,suv,2011,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12228,suv,2012,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12229,suv,2013,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12230,suv,2014,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12231,suv,2015,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12232,suv,2016,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12233,suv,2017,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12234,suv,2018,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12235,suv,2019,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12236,suv,2020,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12237,suv,2021,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12238,suv,2022,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
12239,suv,2023,passenger,03_CDA,road,occupancy_or_load,passengers_or_tonnes,all,no_comment,national,yearly,manually_inputted_data $ guess,phev_d,1.5
