Economy,Transport Type,Medium,Vehicle Type,Drive,Date,Share,Scenario
15_PHL,passenger,road,car,phev_g,2042,0.03204784841237573,Reference
15_PHL,passenger,road,car,phev_g,2043,0.03205240787197208,Reference
15_PHL,passenger,road,car,phev_g,2044,0.032033642691765146,Reference
15_PHL,passenger,road,car,phev_g,2045,0.03203342053487831,Reference
15_PHL,passenger,road,car,phev_g,2046,0.032048258122070836,Reference
15_PHL,passenger,road,car,phev_g,2047,0.03204026525083449,Reference
15_PHL,passenger,road,car,phev_g,2048,0.032049091820273844,Reference
15_PHL,passenger,road,car,phev_g,2049,0.03205016425817069,Reference
15_PHL,passenger,road,car,phev_g,2050,0.03204225611737401,Reference
15_PHL,passenger,road,lt,bev,2023,,Reference
15_PHL,passenger,road,lt,bev,2024,0.02500433475420596,Reference
15_PHL,passenger,road,lt,bev,2025,0.025003848575948888,Reference
15_PHL,passenger,road,lt,bev,2026,0.02500295258043748,Reference
15_PHL,passenger,road,lt,bev,2027,0.02500767202762198,Reference
15_PHL,passenger,road,lt,bev,2028,0.025005061572766545,Reference
15_PHL,passenger,road,lt,bev,2029,0.025002065964363406,Reference
15_PHL,passenger,road,lt,bev,2030,0.02500260297101003,Reference
15_PHL,passenger,road,lt,bev,2031,0.1500801433832169,Reference
15_PHL,passenger,road,lt,bev,2032,0.15007726956224143,Reference
15_PHL,passenger,road,lt,bev,2033,0.15008064547939318,Reference
15_PHL,passenger,road,lt,bev,2034,0.15007694728619903,Reference
15_PHL,passenger,road,lt,bev,2035,0.15008403717060526,Reference
15_PHL,passenger,road,lt,bev,2036,0.15006900069474122,Reference
15_PHL,passenger,road,lt,bev,2037,0.15007177214680306,Reference
15_PHL,passenger,road,lt,bev,2038,0.15008606585709597,Reference
15_PHL,passenger,road,lt,bev,2039,0.15007982339894557,Reference
15_PHL,passenger,road,lt,bev,2040,0.15007778447305828,Reference
15_PHL,passenger,road,lt,bev,2041,0.23823648659746038,Reference
15_PHL,passenger,road,lt,bev,2042,0.23823433118618917,Reference
15_PHL,passenger,road,lt,bev,2043,0.2382323332842633,Reference
15_PHL,passenger,road,lt,bev,2044,0.23823365266807814,Reference
15_PHL,passenger,road,lt,bev,2045,0.23823788353789196,Reference
15_PHL,passenger,road,lt,bev,2046,0.23823726173969043,Reference
15_PHL,passenger,road,lt,bev,2047,0.2382402125721377,Reference
15_PHL,passenger,road,lt,bev,2048,0.23823050660486955,Reference
15_PHL,passenger,road,lt,bev,2049,0.23823570925784102,Reference
15_PHL,passenger,road,lt,bev,2050,0.2382258202415178,Reference
15_PHL,passenger,road,lt,phev_d,2023,,Reference
15_PHL,passenger,road,lt,phev_d,2024,0.017314994873587203,Reference
15_PHL,passenger,road,lt,phev_d,2025,0.01731465820500107,Reference
15_PHL,passenger,road,lt,phev_d,2026,0.017314037746275043,Reference
15_PHL,passenger,road,lt,phev_d,2027,0.017317305867767138,Reference
15_PHL,passenger,road,lt,phev_d,2028,0.017315498180704714,Reference
15_PHL,passenger,road,lt,phev_d,2029,0.017313423782619203,Reference
15_PHL,passenger,road,lt,phev_d,2030,0.017313795648834597,Reference
15_PHL,passenger,road,lt,phev_d,2031,0.017322116022109195,Reference
15_PHL,passenger,road,lt,phev_d,2032,0.017320911078395236,Reference
15_PHL,passenger,road,lt,phev_d,2033,0.017316741267213276,Reference
15_PHL,passenger,road,lt,phev_d,2034,0.01731813106890763,Reference
15_PHL,passenger,road,lt,phev_d,2035,0.017324432490802125,Reference
15_PHL,passenger,road,lt,phev_d,2036,0.017322693343636036,Reference
15_PHL,passenger,road,lt,phev_d,2037,0.017315720314711524,Reference
15_PHL,passenger,road,lt,phev_d,2038,0.017320105035859405,Reference
15_PHL,passenger,road,lt,phev_d,2039,0.017321205825085326,Reference
15_PHL,passenger,road,lt,phev_d,2040,0.01732097050594545,Reference
15_PHL,passenger,road,lt,phev_d,2041,0.02749474621115791,Reference
15_PHL,passenger,road,lt,phev_d,2042,0.027495407388029476,Reference
15_PHL,passenger,road,lt,phev_d,2043,0.027494265794130203,Reference
15_PHL,passenger,road,lt,phev_d,2044,0.027497151650546305,Reference
15_PHL,passenger,road,lt,phev_d,2045,0.027495817376618308,Reference
15_PHL,passenger,road,lt,phev_d,2046,0.02749756748838119,Reference
15_PHL,passenger,road,lt,phev_d,2047,0.02749426560696101,Reference
15_PHL,passenger,road,lt,phev_d,2048,0.027499512857651513,Reference
15_PHL,passenger,road,lt,phev_d,2049,0.027496474629581026,Reference
15_PHL,passenger,road,lt,phev_d,2050,0.027492611495491953,Reference
15_PHL,passenger,road,lt,phev_g,2023,,Reference
15_PHL,passenger,road,lt,phev_g,2024,0.007689339880618759,Reference
15_PHL,passenger,road,lt,phev_g,2025,0.007689190370947817,Reference
15_PHL,passenger,road,lt,phev_g,2026,0.007688914834162438,Reference
15_PHL,passenger,road,lt,phev_g,2027,0.007690366159854842,Reference
15_PHL,passenger,road,lt,phev_g,2028,0.007689563392061827,Reference
15_PHL,passenger,road,lt,phev_g,2029,0.0076886421817442,Reference
15_PHL,passenger,road,lt,phev_g,2030,0.007688807322175435,Reference
15_PHL,passenger,road,lt,phev_g,2031,0.007692502280130034,Reference
15_PHL,passenger,road,lt,phev_g,2032,0.007691967181978331,Reference
15_PHL,passenger,road,lt,phev_g,2033,0.007690115428879344,Reference
15_PHL,passenger,road,lt,phev_g,2034,0.007690732619798114,Reference
15_PHL,passenger,road,lt,phev_g,2035,0.007693530990518506,Reference
15_PHL,passenger,road,lt,phev_g,2036,0.0076927586603064485,Reference
15_PHL,passenger,road,lt,phev_g,2037,0.0076896620385754335,Reference
15_PHL,passenger,road,lt,phev_g,2038,0.007691609230095498,Reference
15_PHL,passenger,road,lt,phev_g,2039,0.007692098074738932,Reference
15_PHL,passenger,road,lt,phev_g,2040,0.0076919935728975986,Reference
15_PHL,passenger,road,lt,phev_g,2041,0.012210020857207925,Reference
15_PHL,passenger,road,lt,phev_g,2042,0.012210314476335382,Reference
15_PHL,passenger,road,lt,phev_g,2043,0.012209807510924115,Reference
15_PHL,passenger,road,lt,phev_g,2044,0.012211089078201039,Reference
15_PHL,passenger,road,lt,phev_g,2045,0.012210496546363685,Reference
15_PHL,passenger,road,lt,phev_g,2046,0.012211273745795281,Reference
15_PHL,passenger,road,lt,phev_g,2047,0.012209807427804972,Reference
15_PHL,passenger,road,lt,phev_g,2048,0.012212137656274151,Reference
15_PHL,passenger,road,lt,phev_g,2049,0.012210788422939725,Reference
15_PHL,passenger,road,lt,phev_g,2050,0.012209072860721419,Reference
15_PHL,passenger,road,suv,bev,2023,,Reference
15_PHL,passenger,road,suv,bev,2024,0.02501116505012645,Reference
15_PHL,passenger,road,suv,bev,2025,0.025010060890634574,Reference
15_PHL,passenger,road,suv,bev,2026,0.02500065131708908,Reference
15_PHL,passenger,road,suv,bev,2027,0.025018602904684554,Reference
15_PHL,passenger,road,suv,bev,2028,0.02501056714176028,Reference
15_PHL,passenger,road,suv,bev,2029,0.02499921498450962,Reference
15_PHL,passenger,road,suv,bev,2030,0.024996569842003047,Reference
15_PHL,passenger,road,suv,bev,2031,0.15051115966904713,Reference
15_PHL,passenger,road,suv,bev,2032,0.15053515106435872,Reference
15_PHL,passenger,road,suv,bev,2033,0.15054739099317827,Reference
15_PHL,passenger,road,suv,bev,2034,0.15050722679623887,Reference
15_PHL,passenger,road,suv,bev,2035,0.1505177315758441,Reference
15_PHL,passenger,road,suv,bev,2036,0.1505337328847748,Reference
15_PHL,passenger,road,suv,bev,2037,0.15052140152067534,Reference
15_PHL,passenger,road,suv,bev,2038,0.15053934809442643,Reference
15_PHL,passenger,road,suv,bev,2039,0.1505395067822698,Reference
15_PHL,passenger,road,suv,bev,2040,0.15053890461267788,Reference
15_PHL,passenger,road,suv,bev,2041,0.2478177308382378,Reference
15_PHL,passenger,road,suv,bev,2042,0.2478089348442376,Reference
15_PHL,passenger,road,suv,bev,2043,0.24779702828179734,Reference
15_PHL,passenger,road,suv,bev,2044,0.24779688931203347,Reference
15_PHL,passenger,road,suv,bev,2045,0.24778686932081828,Reference
15_PHL,passenger,road,suv,bev,2046,0.24779785398685542,Reference
15_PHL,passenger,road,suv,bev,2047,0.24779547045056402,Reference
15_PHL,passenger,road,suv,bev,2048,0.24782193345071082,Reference
15_PHL,passenger,road,suv,bev,2049,0.24781435641937116,Reference
15_PHL,passenger,road,suv,bev,2050,0.24781460374994085,Reference
15_PHL,passenger,road,suv,phev_d,2023,,Reference
15_PHL,passenger,road,suv,phev_d,2024,0.014750723210976877,Reference
15_PHL,passenger,road,suv,phev_d,2025,0.01475007201576015,Reference
15_PHL,passenger,road,suv,phev_d,2026,0.014744522573556046,Reference
15_PHL,passenger,road,suv,phev_d,2027,0.014755109801271662,Reference
15_PHL,passenger,road,suv,phev_d,2028,0.014750370585227648,Reference
15_PHL,passenger,road,suv,phev_d,2029,0.014743675474099622,Reference
15_PHL,passenger,road,suv,phev_d,2030,0.014742115460206233,Reference
15_PHL,passenger,road,suv,phev_d,2031,0.014796306105453995,Reference
15_PHL,passenger,road,suv,phev_d,2032,0.014804674634312804,Reference
15_PHL,passenger,road,suv,phev_d,2033,0.014799952519544156,Reference
15_PHL,passenger,road,suv,phev_d,2034,0.014789968160801524,Reference
15_PHL,passenger,road,suv,phev_d,2035,0.014788992166074587,Reference
15_PHL,passenger,road,suv,phev_d,2036,0.014792582694630413,Reference
15_PHL,passenger,road,suv,phev_d,2037,0.01478936749446977,Reference
15_PHL,passenger,road,suv,phev_d,2038,0.014803170818139191,Reference
15_PHL,passenger,road,suv,phev_d,2039,0.014795164102346162,Reference
15_PHL,passenger,road,suv,phev_d,2040,0.014797109677317457,Reference
15_PHL,passenger,road,suv,phev_d,2041,0.024353046459717056,Reference
15_PHL,passenger,road,suv,phev_d,2042,0.02435618934685464,Reference
15_PHL,passenger,road,suv,phev_d,2043,0.024357024615218943,Reference
15_PHL,passenger,road,suv,phev_d,2044,0.024352996283959982,Reference
15_PHL,passenger,road,suv,phev_d,2045,0.02435201153871356,Reference
15_PHL,passenger,road,suv,phev_d,2046,0.024367138360600685,Reference
15_PHL,passenger,road,suv,phev_d,2047,0.024362887017014903,Reference
15_PHL,passenger,road,suv,phev_d,2048,0.024349457243380904,Reference
15_PHL,passenger,road,suv,phev_d,2049,0.024354726766511563,Reference
15_PHL,passenger,road,suv,phev_d,2050,0.02436474449574982,Reference
15_PHL,passenger,road,suv,phev_g,2023,,Reference
15_PHL,passenger,road,suv,phev_g,2024,0.01026044183914957,Reference
15_PHL,passenger,road,suv,phev_g,2025,0.010259988874874424,Reference
15_PHL,passenger,road,suv,phev_g,2026,0.01025612874353303,Reference
15_PHL,passenger,road,suv,phev_g,2027,0.010263493103412893,Reference
15_PHL,passenger,road,suv,phev_g,2028,0.010260196556532632,Reference
15_PHL,passenger,road,suv,phev_g,2029,0.010255539510409995,Reference
15_PHL,passenger,road,suv,phev_g,2030,0.01025445438179681,Reference
15_PHL,passenger,road,suv,phev_g,2031,0.010292148802323722,Reference
15_PHL,passenger,road,suv,phev_g,2032,0.010297969859529322,Reference
15_PHL,passenger,road,suv,phev_g,2033,0.010294685208109286,Reference
15_PHL,passenger,road,suv,phev_g,2034,0.01028774019729763,Reference
15_PHL,passenger,road,suv,phev_g,2035,0.010287061306033261,Reference
15_PHL,passenger,road,suv,phev_g,2036,0.010289558838451972,Reference
15_PHL,passenger,road,suv,phev_g,2037,0.010287322380362585,Reference
15_PHL,passenger,road,suv,phev_g,2038,0.01029692382143577,Reference
15_PHL,passenger,road,suv,phev_g,2039,0.010291354437444087,Reference
15_PHL,passenger,road,suv,phev_g,2040,0.010292707758128853,Reference
15_PHL,passenger,road,suv,phev_g,2041,0.016939712936928343,Reference
15_PHL,passenger,road,suv,phev_g,2042,0.016941899094869275,Reference
15_PHL,passenger,road,suv,phev_g,2043,0.016942480098413946,Reference
15_PHL,passenger,road,suv,phev_g,2044,0.016939678035220146,Reference
15_PHL,passenger,road,suv,phev_g,2045,0.016938993057190068,Reference
15_PHL,passenger,road,suv,phev_g,2046,0.016949515109157563,Reference
15_PHL,passenger,road,suv,phev_g,2047,0.016946557921026766,Reference
15_PHL,passenger,road,suv,phev_g,2048,0.016937216317275298,Reference
15_PHL,passenger,road,suv,phev_g,2049,0.016940881739968734,Reference
15_PHL,passenger,road,suv,phev_g,2050,0.016947849962932405,Reference
15_PHL,passenger,road,2w,bev,2051,0.23645174939128566,Reference
15_PHL,passenger,road,bus,bev,2051,0.23616802076803714,Reference
15_PHL,passenger,road,car,bev,2051,0.23645174939128566,Reference
15_PHL,passenger,road,car,phev_d,2051,0.0006960586579829836,Reference
15_PHL,passenger,road,car,phev_g,2051,0.03242198298820401,Reference
15_PHL,passenger,road,lt,bev,2051,0.28944319066826374,Reference
