economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,drive,value
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1943.4959541828564
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7371.0
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1448.4641612477005
15_PHL,2037,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1007.5358387522992
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109726.0
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,290.0
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10615.0
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_d,74.35993825520572
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,phev_g,3463.6400617447944
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,bev,19022.0
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_d,4394.663032914539
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,phev_g,1945.336967085461
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,bev,7377.0
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_d,1450.8232233995698
15_PHL,2038,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,phev_g,1009.1767766004301
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,bev,109788.0
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,bev,290.0
15_PHL,2039,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,bev,10620.0
