economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,value,drive
15_PHL,2043,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,338.0,bev
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,13866.0,bev
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,30172.0,bev
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,12134.0,bev
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,18988.0,bev
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,112230.0,bev
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,337.0,bev
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,13867.0,bev
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,30174.0,bev
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,12134.0,bev
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,18988.0,bev
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,112237.0,bev
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,339.0,bev
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,13873.0,bev
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,30184.0,bev
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,12139.0,bev
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,18996.0,bev
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,112275.0,bev
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,338.0,bev
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,13881.0,bev
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,30206.0,bev
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,12147.0,bev
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,19009.0,bev
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,112354.0,bev
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,338.0,bev
15_PHL,2048,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,13895.0,bev
15_PHL,2048,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,30235.0,bev
15_PHL,2048,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,12161.0,bev
15_PHL,2048,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,19027.0,bev
15_PHL,2048,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,112467.0,bev
15_PHL,2048,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,340.0,bev
15_PHL,2049,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,13914.0,bev
15_PHL,2049,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,30275.0,bev
15_PHL,2049,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,12176.0,bev
15_PHL,2049,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,19052.0,bev
15_PHL,2049,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,112612.0,bev
15_PHL,2049,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,339.0,bev
15_PHL,2050,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,13935.0,bev
15_PHL,2050,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,30320.0,bev
15_PHL,2050,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,12195.0,bev
