economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,value
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,54977.92459373851
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2699435.754497679
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4840737.311117747
15_PHL,2041,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1871624.7754330467
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,17994448.349579148
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,56417.892127860134
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2770122.730441915
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,4967494.860500498
15_PHL,2042,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1920634.3077472623
15_PHL,2043,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,18453363.180903617
15_PHL,2043,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,57856.05966596327
15_PHL,2043,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2840769.1079727826
15_PHL,2043,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,5094182.114006039
15_PHL,2043,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1969617.9460263967
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,18912138.404158585
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,59293.865577177974
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2911395.747723979
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,5220830.88785512
15_PHL,2044,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,2018585.4695239193
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,19370937.502095483
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,60732.88064601572
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2982022.8772822004
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,5347485.807517386
15_PHL,2045,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,2067554.9731673496
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,19829896.7678955
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,62171.55561347937
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,3052678.4024178167
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,5474183.032710398
15_PHL,2046,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,2116542.4837720376
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,20289178.47137417
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,63611.44881345656
15_PHL,2047,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,3123382.1082721595
