,vehicle_type,drive,transport_type,economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,value
76,all,all,passenger,19_THA,2012,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,7139062000.0
77,all,all,passenger,19_THA,2013,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,7028602000.0
78,all,all,passenger,19_THA,2014,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,6473119000.0
79,all,all,passenger,19_THA,2015,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,6133426000.0
80,all,all,passenger,19_THA,2016,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,6106858000.0
81,all,all,passenger,19_THA,2017,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,6520452000.0
82,all,all,passenger,19_THA,2018,rail,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,5906537000.0
83,all,all,passenger,19_THA,2013,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,national,yearly,13360000000.0
84,all,all,passenger,19_THA,2018,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,national,yearly,22980000000.0
85,all,all,passenger,19_THA,2019,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,national,yearly,23550000000.0
86,all,all,passenger,19_THA,2013,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,regional,yearly,84660000000.0
87,all,all,passenger,19_THA,2018,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,regional,yearly,130669999999.99998
88,all,all,passenger,19_THA,2019,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,regional,yearly,137710000000.0
89,all,all,passenger,19_THA,2013,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,"national,_international",yearly,98020000000.0
90,all,all,passenger,19_THA,2018,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,"national,_international",yearly,153650000000.0
91,all,all,passenger,19_THA,2019,air,revenue_passenger_km,ato $ international_council_on_clean_transportation_(icct),revenue_passenger_kilometers,all,no_comment,"national,_international",yearly,161260000000.0
92,all,all,passenger,19_THA,2018,air,activity,"ato $ un_statistics_division,_itf",passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,132748126052.133
93,all,all,passenger,19_THA,2018,all,activity,"ato $ un_statistics_division,_itf",passenger_km_or_freight_tonne_km,all,no_comment,"national,_international",yearly,588624473155.088
94,all,all,passenger,19_THA,2018,road,activity,"ato $ un_statistics_division,_itf",passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,125107631443.185
95,all,all,passenger,19_THA,2007,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,438060000000.0
96,all,all,passenger,19_THA,2008,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,437899000000.0
97,all,all,passenger,19_THA,2009,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,452172000000.0
98,all,all,passenger,19_THA,2010,road,activity,ato $ country_official_statistics,passenger_km_or_freight_tonne_km,all,no_comment,national,yearly,452040000000.0
