Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,freight,ht,g,2017-12-31,10_MAS,Yearly,Stocks,Stocks,109943.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,10_MAS,Yearly,Stocks,Stocks,12659.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,10_MAS,Yearly,Stocks,Stocks,12563539.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,10_MAS,Yearly,Stocks,Stocks,513.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,10_MAS,Yearly,Stocks,Stocks,15948.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,10_MAS,Yearly,Stocks,Stocks,51307.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,11_MEX,Yearly,Stocks,Stocks,68.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,11_MEX,Yearly,Stocks,Stocks,456470.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,11_MEX,Yearly,Stocks,Stocks,51544.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,11_MEX,Yearly,Stocks,Stocks,2734933.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,11_MEX,Yearly,Stocks,Stocks,22963.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,11_MEX,Yearly,Stocks,Stocks,197585.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,11_MEX,Yearly,Stocks,Stocks,72098.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,11_MEX,Yearly,Stocks,Stocks,68889.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,12_NZ,Yearly,Stocks,Stocks,40.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,12_NZ,Yearly,Stocks,Stocks,134535.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,12_NZ,Yearly,Stocks,Stocks,3115.0,8th edition transport model $ Reference,National,,,
