Economy,Scenario,Transport Type,Year,Vehicle Type,Drive,Value
04_CHL,Reference,freight,2017,ht,bev,0.5001690559913443
04_CHL,Reference,freight,2017,ht,cng,0.0
04_CHL,Reference,freight,2017,ht,d,0.4948945090614011
04_CHL,Reference,freight,2017,ht,fcev,0.0
04_CHL,Reference,freight,2017,ht,g,0.004936434947254532
04_CHL,Reference,freight,2017,ht,lpg,0.0
04_CHL,Reference,freight,2017,lt,bev,0.0
04_CHL,Carbon Neutral,passenger,2017,lt,cng,0.0
04_CHL,Reference,freight,2017,lt,cng,0.0
04_CHL,Reference,freight,2017,lt,fcev,0.0
04_CHL,Reference,passenger,2017,bus,g,0.0002912764795535233
04_CHL,Reference,freight,2017,lt,g,0.0
04_CHL,Reference,freight,2017,lt,lpg,0.0
04_CHL,Reference,freight,2017,lt,phevg,0.0
04_CHL,Reference,passenger,2017,2w,bev,0.0016674929655099491
04_CHL,Reference,passenger,2017,2w,g,0.09408823933882865
04_CHL,Reference,passenger,2017,bus,bev,0.0004284391548976075
04_CHL,Reference,passenger,2017,bus,cng,0.0
04_CHL,Reference,passenger,2017,bus,d,0.008039746481820351
04_CHL,Reference,passenger,2017,bus,fcev,0.0
04_CHL,Reference,passenger,2017,bus,lpg,0.0
04_CHL,Reference,freight,2017,lt,d,0.0
04_CHL,Reference,passenger,2017,lt,bev,0.0
04_CHL,Reference,passenger,2017,lt,cng,0.0
04_CHL,Reference,passenger,2017,lt,d,0.0
04_CHL,Reference,passenger,2017,lt,fcev,0.0
04_CHL,Reference,passenger,2017,lt,g,0.0
04_CHL,Reference,passenger,2017,lt,lpg,0.0
04_CHL,Reference,passenger,2017,lt,phevg,0.0
04_CHL,Reference,passenger,2017,lv,bev,0.03197231538226485
04_CHL,Reference,passenger,2017,lv,cng,0.0
04_CHL,Reference,passenger,2017,lv,d,0.2448853752379559
03_CDA,Reference,freight,2017,lt,fcev,0.0
04_CHL,Reference,passenger,2017,lv,fcev,0.0
04_CHL,Reference,passenger,2017,lv,lpg,0.0
05_PRC,Carbon Neutral,freight,2017,lt,bev,0.00798314766157166
04_CHL,Reference,passenger,2017,lv,phevg,0.04637802535887971
04_CHL,Reference,freight,2017,ht,phevd,0.0
04_CHL,Reference,passenger,2017,bus,phevd,0.0
05_PRC,Carbon Neutral,freight,2017,ht,bev,0.05998656799582409
05_PRC,Carbon Neutral,freight,2017,ht,cng,0.1268293405019745
05_PRC,Carbon Neutral,freight,2017,ht,d,0.3775747228164123
05_PRC,Carbon Neutral,freight,2017,ht,fcev,0.00034850263150755
05_PRC,Carbon Neutral,freight,2017,ht,g,0.27841215277346393
05_PRC,Carbon Neutral,passenger,2017,bus,fcev,0.0015201529446283379
05_PRC,Carbon Neutral,freight,2017,ht,lpg,0.002844590514963928
05_PRC,Carbon Neutral,passenger,2017,bus,d,1.651974111925093e-05
05_PRC,Carbon Neutral,freight,2017,lt,d,0.08619317252155602
05_PRC,Carbon Neutral,freight,2017,lt,fcev,7.295085109171039e-06
05_PRC,Carbon Neutral,freight,2017,lt,g,0.04607216077206911
05_PRC,Carbon Neutral,freight,2017,lt,lpg,0.0006984589926042888
