Economy,Scenario,Year,Vehicle Type,Drive,Drive_share,Transport Type,V_sum,Value
01_AUS,Carbon Neutral,2027,lt,fcev,0.0,passenger,0.2601969480300687,0.0
01_AUS,Carbon Neutral,2027,lt,g,0.15091904840500522,passenger,0.2601969480300687,0.03926867579458457
01_AUS,Carbon Neutral,2027,lt,lpg,0.018976734579612138,passenger,0.2601969480300687,0.004937688421191747
01_AUS,Carbon Neutral,2027,lt,phevg,0.49718041732384344,passenger,0.2601969480300687,0.12936482720797995
01_AUS,Carbon Neutral,2027,lv,bev,0.24362475600224037,passenger,0.5141425590665545,0.1252578555029568
01_AUS,Carbon Neutral,2027,lv,cng,0.0,passenger,0.5141425590665545,0.0
01_AUS,Carbon Neutral,2027,lv,d,1.049067548059027e-05,passenger,0.5141425590665545,5.393702737927437e-06
01_AUS,Carbon Neutral,2027,lv,fcev,5.606341619560548e-07,passenger,0.5141425590665545,2.8824588272821915e-07
01_AUS,Carbon Neutral,2027,lv,g,0.24317838463718533,passenger,0.5141425590665545,0.12502835698703335
01_AUS,Carbon Neutral,2027,lv,lpg,0.0016750364793012144,passenger,0.5141425590665545,0.0008612075419977581
01_AUS,Carbon Neutral,2027,lv,phevg,0.5115107715716306,passenger,0.5141425590665545,0.26298945708594595
01_AUS,Carbon Neutral,2028,2w,bev,0.9244274216515631,passenger,0.2142884779294528,0.19809414514196194
01_AUS,Carbon Neutral,2028,2w,g,0.07557257834843684,passenger,0.2142884779294528,0.01619433278749085
01_AUS,Carbon Neutral,2028,bus,bev,0.32303924074561996,passenger,0.025317339924682,0.008178494266968045
01_AUS,Carbon Neutral,2028,bus,cng,0.0030120761969338896,passenger,0.025317339924682,7.625775695681868e-05
01_AUS,Carbon Neutral,2028,bus,d,0.3275908419833752,passenger,0.025317339924682,0.008293728702705897
01_AUS,Carbon Neutral,2028,bus,fcev,0.0,passenger,0.025317339924682,0.0
01_AUS,Carbon Neutral,2028,bus,g,0.0,passenger,0.025317339924682,0.0
01_AUS,Carbon Neutral,2028,bus,lpg,0.0,passenger,0.025317339924682,0.0
01_AUS,Carbon Neutral,2028,bus,phevd,0.34635784107407097,passenger,0.025317339924682,0.008768859198051239
01_AUS,Carbon Neutral,2028,lt,bev,0.3294443148819293,passenger,0.25873268168578667,0.0852380110555383
01_AUS,Carbon Neutral,2028,lt,cng,0.0,passenger,0.25873268168578667,0.0
