,vehicle_type,transport_type,economy,date,medium,measure,unit,fuel,comment,scope,frequency,dataset,drive,value
15515,all,passenger,20_USA,1980,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1810.3015701648303
15516,all,passenger,20_USA,1981,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1693.0811904058576
15517,all,passenger,20_USA,1982,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1698.8503438924276
15518,all,passenger,20_USA,1983,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1753.602182714017
15519,all,passenger,20_USA,1984,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1975.034787236767
15520,all,passenger,20_USA,1985,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2070.905624475376
15521,all,passenger,20_USA,1986,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2074.4700059288616
15522,all,passenger,20_USA,1987,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2135.1379830392266
15523,all,passenger,20_USA,1988,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2223.1451333598347
15524,all,passenger,20_USA,1989,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2279.2198354012744
15525,all,passenger,20_USA,1990,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2335.7188605189617
15526,all,passenger,20_USA,1991,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2246.92975839986
15527,all,passenger,20_USA,1992,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2179.4267381127697
15528,all,passenger,20_USA,1993,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2201.776729014727
15529,all,passenger,20_USA,1994,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2301.454351367999
15530,all,passenger,20_USA,1995,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2238.246289469898
15531,all,passenger,20_USA,1996,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2346.125189760256
15532,all,passenger,20_USA,1997,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2315.873909553274
15533,all,passenger,20_USA,1998,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2347.659354657137
15534,all,passenger,20_USA,1999,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2385.884777186356
15535,all,passenger,20_USA,2000,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2502.436093149549
15536,all,passenger,20_USA,2001,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2406.3418096146283
15537,all,passenger,20_USA,2002,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2186.627479477382
15538,all,passenger,20_USA,2003,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2154.6714107404987
15539,all,passenger,20_USA,2004,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2230.9421589954145
15540,all,passenger,20_USA,2005,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2266.99815933648
15541,all,passenger,20_USA,2006,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2149.295169677945
15542,all,passenger,20_USA,2007,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2119.8158867237275
15543,all,passenger,20_USA,2008,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1938.3654119668572
15544,all,passenger,20_USA,2009,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1765.4939734379816
15545,all,passenger,20_USA,2010,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1807.852509390481
15546,all,passenger,20_USA,2011,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1810.437064430124
15547,all,passenger,20_USA,2012,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1790.935635320291
15548,all,passenger,20_USA,2013,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1826.387803720796
15549,all,passenger,20_USA,2014,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1872.262800406642
15550,all,passenger,20_USA,2015,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1956.7720394759417
15551,all,passenger,20_USA,2016,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2031.5735717434504
15552,all,passenger,20_USA,2017,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2144.398367317845
15553,all,passenger,20_USA,2018,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2177.8558049676167
15554,all,passenger,20_USA,2019,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,2215.3071687822207
15555,all,passenger,20_USA,2020,air,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,1375.6895577631758
16169,all,passenger,20_USA,1980,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,39.82116364459842
16170,all,passenger,20_USA,1981,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,38.61972337428878
16171,all,passenger,20_USA,1982,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,34.925784641099014
16172,all,passenger,20_USA,1983,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.506700904387717
16173,all,passenger,20_USA,1984,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,31.9151825651483
16174,all,passenger,20_USA,1985,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.691537869050737
16175,all,passenger,20_USA,1986,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,28.57971552100196
16176,all,passenger,20_USA,1987,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.27145385845297
16177,all,passenger,20_USA,1988,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.68293613406149
16178,all,passenger,20_USA,1989,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.190037561626763
16179,all,passenger,20_USA,1990,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.25271101539187
16180,all,passenger,20_USA,1991,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,28.52004006679249
16181,all,passenger,20_USA,1992,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.553877644269637
16182,all,passenger,20_USA,1993,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,27.80312413419431
16183,all,passenger,20_USA,1994,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.247230694177865
16184,all,passenger,20_USA,1995,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.40590305153656
16185,all,passenger,20_USA,1996,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,30.965172377141677
16186,all,passenger,20_USA,1997,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.07666034262676
16187,all,passenger,20_USA,1998,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,26.7546196487829
16188,all,passenger,20_USA,1999,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,26.206788650674348
16189,all,passenger,20_USA,2000,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,28.91845166322751
16190,all,passenger,20_USA,2001,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,28.20474629269433
16191,all,passenger,20_USA,2002,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.626257373915852
16192,all,passenger,20_USA,2003,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.741723065348797
16193,all,passenger,20_USA,2004,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,31.71355344230165
16194,all,passenger,20_USA,2005,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,35.26911706251252
16195,all,passenger,20_USA,2006,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,39.11099706177051
16196,all,passenger,20_USA,2007,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,37.83806269369724
16197,all,passenger,20_USA,2008,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.85887497400028
16198,all,passenger,20_USA,2009,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,24.2297139449332
16199,all,passenger,20_USA,2010,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,25.58970708347477
16200,all,passenger,20_USA,2011,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,33.8888425479953
16201,all,passenger,20_USA,2012,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,29.9140177217354
16202,all,passenger,20_USA,2013,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,32.3970410497285
16203,all,passenger,20_USA,2014,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,32.70052682240077
16204,all,passenger,20_USA,2015,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,35.24976183175223
16205,all,passenger,20_USA,2016,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,34.74603825447642
16206,all,passenger,20_USA,2017,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,34.71871318986707
16207,all,passenger,20_USA,2018,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,41.658264397616335
16208,all,passenger,20_USA,2019,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,40.5630880185155
16209,all,passenger,20_USA,2020,rail,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,31.72292411629805
16980,all,passenger,20_USA,1980,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9003.218987930997
16981,all,passenger,20_USA,1981,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9047.239989560603
16982,all,passenger,20_USA,1982,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9025.06027732617
16983,all,passenger,20_USA,1983,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9241.468666768467
16984,all,passenger,20_USA,1984,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9295.954743888968
16985,all,passenger,20_USA,1985,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9331.20278422397
16986,all,passenger,20_USA,1986,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9565.18312878157
16987,all,passenger,20_USA,1987,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,9883.32663020997
16988,all,passenger,20_USA,1988,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,10311.509619449338
16989,all,passenger,20_USA,1989,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,10370.94187652822
16990,all,passenger,20_USA,1990,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,10188.232435923012
16991,all,passenger,20_USA,1991,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,10060.97841177029
16992,all,passenger,20_USA,1992,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,10366.399916618806
16993,all,passenger,20_USA,1993,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,10634.39012688568
16994,all,passenger,20_USA,1994,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,11017.608492695992
16995,all,passenger,20_USA,1995,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,11322.297762460215
16996,all,passenger,20_USA,1996,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,11565.092540729744
16997,all,passenger,20_USA,1997,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,11822.023274837358
16998,all,passenger,20_USA,1998,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12227.940574218355
16999,all,passenger,20_USA,1999,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12596.224933673817
17000,all,passenger,20_USA,2000,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12775.179796757182
17001,all,passenger,20_USA,2001,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12882.326355024335
17002,all,passenger,20_USA,2002,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13213.663210966384
17003,all,passenger,20_USA,2003,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13520.896019931926
17004,all,passenger,20_USA,2004,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13689.341989576473
17005,all,passenger,20_USA,2005,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13800.3362332983
17006,all,passenger,20_USA,2006,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13908.254202998269
17007,all,passenger,20_USA,2007,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,14002.147701153164
17008,all,passenger,20_USA,2008,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13486.052394889835
17009,all,passenger,20_USA,2009,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12989.145785965298
17010,all,passenger,20_USA,2010,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13469.60754923092
17011,all,passenger,20_USA,2011,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12937.833034727204
17012,all,passenger,20_USA,2012,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12796.33939321748
17013,all,passenger,20_USA,2013,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13212.783694262447
17014,all,passenger,20_USA,2014,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13192.349306707649
17015,all,passenger,20_USA,2015,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13643.382022925114
17016,all,passenger,20_USA,2016,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13760.408346572904
17017,all,passenger,20_USA,2017,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13785.448952724542
17018,all,passenger,20_USA,2018,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13928.483959278434
17019,all,passenger,20_USA,2019,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,13838.877075794227
17020,all,passenger,20_USA,2020,road,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,12231.16449431523
17663,all,passenger,20_USA,1980,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,36.068394562648514
17664,all,passenger,20_USA,1981,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,35.61336855891451
17665,all,passenger,20_USA,1982,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,40.10295846242333
17666,all,passenger,20_USA,1983,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,23.631017127252477
17667,all,passenger,20_USA,1984,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,112.20941252080476
17668,all,passenger,20_USA,1985,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,141.57375729510562
17669,all,passenger,20_USA,1986,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,120.39988058801676
17670,all,passenger,20_USA,1987,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,128.2566629191572
17671,all,passenger,20_USA,1988,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,125.465836762922
17672,all,passenger,20_USA,1989,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,121.67395339847197
17673,all,passenger,20_USA,1990,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,116.75276526340808
17674,all,passenger,20_USA,1991,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,110.45215973101118
17675,all,passenger,20_USA,1992,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,129.5723554414206
17676,all,passenger,20_USA,1993,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,129.05415969434156
17677,all,passenger,20_USA,1994,ship,energy,pj,all,no_comment,national,yearly,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,all,87.63275428557888
