,Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency_x,Measure,Unit_x,Dataset,Scope,Comments,Fuel,Source,Value,Frequency_y,Unit_y,_merge
6489,road,freight,ht,phev_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6490,road,freight,lcv,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6491,road,freight,lcv,cng,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6492,road,freight,lcv,fcev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6493,road,freight,lcv,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6494,road,freight,lcv,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6495,road,freight,lcv,lpg,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6496,road,freight,lcv,phev_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6497,road,freight,lcv,phev_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6498,road,freight,mt,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6499,road,freight,mt,cng,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6500,road,freight,mt,fcev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6501,road,freight,mt,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6502,road,freight,mt,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6503,road,freight,mt,lpg,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6504,road,freight,mt,phev_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6505,road,freight,mt,phev_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6506,road,freight,2w,bev,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6507,road,freight,2w,ice_d,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6508,road,freight,2w,ice_g,2017-12-31,02_BD,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6509,road,passenger,2w,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6510,road,passenger,2w,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6511,road,passenger,2w,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6512,road,passenger,bus,bev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6513,road,passenger,bus,cng,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6514,road,passenger,bus,fcev,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6515,road,passenger,bus,ice_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6516,road,passenger,bus,ice_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6517,road,passenger,bus,lpg,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6518,road,passenger,bus,phev_d,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6519,road,passenger,bus,phev_g,2017-12-31,03_CDA,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
