,Vehicle Type,Drive,Transport Type,Measure
6749,suv,fcev,passenger,New_vehicle_efficiency
6750,suv,ice_d,passenger,New_vehicle_efficiency
6751,suv,ice_g,passenger,New_vehicle_efficiency
6752,suv,lpg,passenger,New_vehicle_efficiency
6753,suv,phev_d,passenger,New_vehicle_efficiency
6754,suv,phev_g,passenger,New_vehicle_efficiency
6755,ht,bev,freight,New_vehicle_efficiency
6756,ht,cng,freight,New_vehicle_efficiency
6757,ht,fcev,freight,New_vehicle_efficiency
6758,ht,ice_d,freight,New_vehicle_efficiency
6759,ht,ice_g,freight,New_vehicle_efficiency
6760,ht,lpg,freight,New_vehicle_efficiency
6761,ht,phev_d,freight,New_vehicle_efficiency
6762,ht,phev_g,freight,New_vehicle_efficiency
6763,lcv,bev,freight,New_vehicle_efficiency
6764,lcv,cng,freight,New_vehicle_efficiency
6765,lcv,fcev,freight,New_vehicle_efficiency
6766,lcv,ice_d,freight,New_vehicle_efficiency
6767,lcv,ice_g,freight,New_vehicle_efficiency
6768,lcv,lpg,freight,New_vehicle_efficiency
6769,lcv,phev_d,freight,New_vehicle_efficiency
6770,lcv,phev_g,freight,New_vehicle_efficiency
6771,mt,bev,freight,New_vehicle_efficiency
6772,mt,cng,freight,New_vehicle_efficiency
6773,mt,fcev,freight,New_vehicle_efficiency
6774,mt,ice_d,freight,New_vehicle_efficiency
6775,mt,ice_g,freight,New_vehicle_efficiency
6776,mt,lpg,freight,New_vehicle_efficiency
6777,mt,phev_d,freight,New_vehicle_efficiency
6778,mt,phev_g,freight,New_vehicle_efficiency
6779,2w,bev,freight,New_vehicle_efficiency
6780,2w,ice_d,freight,New_vehicle_efficiency
6781,2w,ice_g,freight,New_vehicle_efficiency
8022,2w,bev,passenger,Efficiency
8023,2w,ice_d,passenger,Efficiency
8024,2w,ice_g,passenger,Efficiency
8025,bus,bev,passenger,Efficiency
8026,bus,cng,passenger,Efficiency
8027,bus,fcev,passenger,Efficiency
8028,bus,ice_d,passenger,Efficiency
8029,bus,ice_g,passenger,Efficiency
8030,bus,lpg,passenger,Efficiency
8031,bus,phev_d,passenger,Efficiency
8032,bus,phev_g,passenger,Efficiency
8033,car,bev,passenger,Efficiency
8034,car,cng,passenger,Efficiency
8035,car,fcev,passenger,Efficiency
8036,car,ice_d,passenger,Efficiency
8037,car,ice_g,passenger,Efficiency
8038,car,lpg,passenger,Efficiency
8039,car,phev_d,passenger,Efficiency
8040,car,phev_g,passenger,Efficiency
8041,lt,bev,passenger,Efficiency
8042,lt,cng,passenger,Efficiency
8043,lt,fcev,passenger,Efficiency
8044,lt,ice_d,passenger,Efficiency
8045,lt,ice_g,passenger,Efficiency
8046,lt,lpg,passenger,Efficiency
8047,lt,phev_d,passenger,Efficiency
8048,lt,phev_g,passenger,Efficiency
8049,suv,bev,passenger,Efficiency
8050,suv,cng,passenger,Efficiency
8051,suv,fcev,passenger,Efficiency
8052,suv,ice_d,passenger,Efficiency
8053,suv,ice_g,passenger,Efficiency
8054,suv,lpg,passenger,Efficiency
8055,suv,phev_d,passenger,Efficiency
8056,suv,phev_g,passenger,Efficiency
8057,ht,bev,freight,Efficiency
8058,ht,cng,freight,Efficiency
8059,ht,fcev,freight,Efficiency
8060,ht,ice_d,freight,Efficiency
8061,ht,ice_g,freight,Efficiency
8062,ht,lpg,freight,Efficiency
8063,ht,phev_d,freight,Efficiency
8064,ht,phev_g,freight,Efficiency
8065,lcv,bev,freight,Efficiency
8066,lcv,cng,freight,Efficiency
8067,lcv,fcev,freight,Efficiency
8068,lcv,ice_d,freight,Efficiency
8069,lcv,ice_g,freight,Efficiency
8070,lcv,lpg,freight,Efficiency
8071,lcv,phev_d,freight,Efficiency
8072,lcv,phev_g,freight,Efficiency
8073,mt,bev,freight,Efficiency
8074,mt,cng,freight,Efficiency
8075,mt,fcev,freight,Efficiency
8076,mt,ice_d,freight,Efficiency
8077,mt,ice_g,freight,Efficiency
8078,mt,lpg,freight,Efficiency
8079,mt,phev_d,freight,Efficiency
8080,mt,phev_g,freight,Efficiency
8081,2w,bev,freight,Efficiency
8082,2w,ice_d,freight,Efficiency
8083,2w,ice_g,freight,Efficiency
9324,2w,bev,passenger,Mileage
9325,2w,ice_d,passenger,Mileage
9326,2w,ice_g,passenger,Mileage
9327,bus,bev,passenger,Mileage
9328,bus,cng,passenger,Mileage
9329,bus,fcev,passenger,Mileage
9330,bus,ice_d,passenger,Mileage
9331,bus,ice_g,passenger,Mileage
9332,bus,lpg,passenger,Mileage
9333,bus,phev_d,passenger,Mileage
9334,bus,phev_g,passenger,Mileage
9335,car,bev,passenger,Mileage
9336,car,cng,passenger,Mileage
9337,car,fcev,passenger,Mileage
9338,car,ice_d,passenger,Mileage
9339,car,ice_g,passenger,Mileage
9340,car,lpg,passenger,Mileage
9341,car,phev_d,passenger,Mileage
9342,car,phev_g,passenger,Mileage
9343,lt,bev,passenger,Mileage
9344,lt,cng,passenger,Mileage
9345,lt,fcev,passenger,Mileage
9346,lt,ice_d,passenger,Mileage
9347,lt,ice_g,passenger,Mileage
9348,lt,lpg,passenger,Mileage
9349,lt,phev_d,passenger,Mileage
9350,lt,phev_g,passenger,Mileage
9351,suv,bev,passenger,Mileage
9352,suv,cng,passenger,Mileage
9353,suv,fcev,passenger,Mileage
9354,suv,ice_d,passenger,Mileage
9355,suv,ice_g,passenger,Mileage
9356,suv,lpg,passenger,Mileage
9357,suv,phev_d,passenger,Mileage
9358,suv,phev_g,passenger,Mileage
9359,ht,bev,freight,Mileage
9360,ht,cng,freight,Mileage
9361,ht,fcev,freight,Mileage
9362,ht,ice_d,freight,Mileage
9363,ht,ice_g,freight,Mileage
9364,ht,lpg,freight,Mileage
9365,ht,phev_d,freight,Mileage
9366,ht,phev_g,freight,Mileage
9367,lcv,bev,freight,Mileage
9368,lcv,cng,freight,Mileage
9369,lcv,fcev,freight,Mileage
9370,lcv,ice_d,freight,Mileage
9371,lcv,ice_g,freight,Mileage
9372,lcv,lpg,freight,Mileage
9373,lcv,phev_d,freight,Mileage
9374,lcv,phev_g,freight,Mileage
9375,mt,bev,freight,Mileage
9376,mt,cng,freight,Mileage
9377,mt,fcev,freight,Mileage
9378,mt,ice_d,freight,Mileage
9379,mt,ice_g,freight,Mileage
9380,mt,lpg,freight,Mileage
9381,mt,phev_d,freight,Mileage
9382,mt,phev_g,freight,Mileage
9383,2w,bev,freight,Mileage
9384,2w,ice_d,freight,Mileage
9385,2w,ice_g,freight,Mileage
