,Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency_x,Measure,Unit_x,Dataset,Scope,Comments,Fuel,Source,Value,Frequency_y,Unit_y,_merge
3815,road,passenger,2w,cng,2017-12-31,14_PE,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3816,road,passenger,2w,cng,2017-12-31,15_RP,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3817,road,passenger,2w,cng,2017-12-31,16_RUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3818,road,passenger,2w,cng,2017-12-31,17_SIN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3819,road,passenger,2w,cng,2017-12-31,18_CT,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3820,road,passenger,2w,cng,2017-12-31,19_THA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3821,road,passenger,2w,cng,2017-12-31,20_USA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3822,road,passenger,2w,cng,2017-12-31,21_VN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3844,road,passenger,2w,lpg,2017-12-31,01_AUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3845,road,passenger,2w,lpg,2017-12-31,02_BD,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3846,road,passenger,2w,lpg,2017-12-31,03_CDA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3847,road,passenger,2w,lpg,2017-12-31,04_CHL,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3848,road,passenger,2w,lpg,2017-12-31,05_PRC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3849,road,passenger,2w,lpg,2017-12-31,06_HKC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3850,road,passenger,2w,lpg,2017-12-31,07_INA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3851,road,passenger,2w,lpg,2017-12-31,08_JPN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3852,road,passenger,2w,lpg,2017-12-31,09_ROK,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3853,road,passenger,2w,lpg,2017-12-31,10_MAS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3854,road,passenger,2w,lpg,2017-12-31,11_MEX,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3855,road,passenger,2w,lpg,2017-12-31,12_NZ,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3856,road,passenger,2w,lpg,2017-12-31,13_PNG,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3857,road,passenger,2w,lpg,2017-12-31,14_PE,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3858,road,passenger,2w,lpg,2017-12-31,15_RP,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3859,road,passenger,2w,lpg,2017-12-31,16_RUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3860,road,passenger,2w,lpg,2017-12-31,17_SIN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3861,road,passenger,2w,lpg,2017-12-31,18_CT,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3862,road,passenger,2w,lpg,2017-12-31,19_THA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3863,road,passenger,2w,lpg,2017-12-31,20_USA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3864,road,passenger,2w,lpg,2017-12-31,21_VN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
3928,road,passenger,2w,fcev,2017-12-31,01_AUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3929,road,passenger,2w,fcev,2017-12-31,02_BD,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3930,road,passenger,2w,fcev,2017-12-31,03_CDA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3931,road,passenger,2w,fcev,2017-12-31,04_CHL,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3932,road,passenger,2w,fcev,2017-12-31,05_PRC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3933,road,passenger,2w,fcev,2017-12-31,06_HKC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3934,road,passenger,2w,fcev,2017-12-31,07_INA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3935,road,passenger,2w,fcev,2017-12-31,08_JPN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3936,road,passenger,2w,fcev,2017-12-31,09_ROK,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3937,road,passenger,2w,fcev,2017-12-31,10_MAS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3938,road,passenger,2w,fcev,2017-12-31,11_MEX,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3939,road,passenger,2w,fcev,2017-12-31,12_NZ,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3940,road,passenger,2w,fcev,2017-12-31,13_PNG,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3941,road,passenger,2w,fcev,2017-12-31,14_PE,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3942,road,passenger,2w,fcev,2017-12-31,15_RP,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3943,road,passenger,2w,fcev,2017-12-31,16_RUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3944,road,passenger,2w,fcev,2017-12-31,17_SIN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3945,road,passenger,2w,fcev,2017-12-31,18_CT,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3946,road,passenger,2w,fcev,2017-12-31,19_THA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3947,road,passenger,2w,fcev,2017-12-31,20_USA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3948,road,passenger,2w,fcev,2017-12-31,21_VN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,2078609221.4663649,,,left_only
3991,road,passenger,2w,phev_g,2017-12-31,01_AUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3992,road,passenger,2w,phev_g,2017-12-31,02_BD,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3993,road,passenger,2w,phev_g,2017-12-31,03_CDA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3994,road,passenger,2w,phev_g,2017-12-31,04_CHL,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3995,road,passenger,2w,phev_g,2017-12-31,05_PRC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3996,road,passenger,2w,phev_g,2017-12-31,06_HKC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3997,road,passenger,2w,phev_g,2017-12-31,07_INA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3998,road,passenger,2w,phev_g,2017-12-31,08_JPN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
3999,road,passenger,2w,phev_g,2017-12-31,09_ROK,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4000,road,passenger,2w,phev_g,2017-12-31,10_MAS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4001,road,passenger,2w,phev_g,2017-12-31,11_MEX,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4002,road,passenger,2w,phev_g,2017-12-31,12_NZ,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4003,road,passenger,2w,phev_g,2017-12-31,13_PNG,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4004,road,passenger,2w,phev_g,2017-12-31,14_PE,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4005,road,passenger,2w,phev_g,2017-12-31,15_RP,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4006,road,passenger,2w,phev_g,2017-12-31,16_RUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4007,road,passenger,2w,phev_g,2017-12-31,17_SIN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4008,road,passenger,2w,phev_g,2017-12-31,18_CT,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4009,road,passenger,2w,phev_g,2017-12-31,19_THA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4010,road,passenger,2w,phev_g,2017-12-31,20_USA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4011,road,passenger,2w,phev_g,2017-12-31,21_VN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1039304610.7331824,,,left_only
4054,road,passenger,2w,phev_d,2017-12-31,01_AUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4055,road,passenger,2w,phev_d,2017-12-31,02_BD,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4056,road,passenger,2w,phev_d,2017-12-31,03_CDA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4057,road,passenger,2w,phev_d,2017-12-31,04_CHL,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4058,road,passenger,2w,phev_d,2017-12-31,05_PRC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4059,road,passenger,2w,phev_d,2017-12-31,06_HKC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4060,road,passenger,2w,phev_d,2017-12-31,07_INA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4061,road,passenger,2w,phev_d,2017-12-31,08_JPN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4062,road,passenger,2w,phev_d,2017-12-31,09_ROK,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4063,road,passenger,2w,phev_d,2017-12-31,10_MAS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4064,road,passenger,2w,phev_d,2017-12-31,11_MEX,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4065,road,passenger,2w,phev_d,2017-12-31,12_NZ,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4066,road,passenger,2w,phev_d,2017-12-31,13_PNG,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4067,road,passenger,2w,phev_d,2017-12-31,14_PE,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4068,road,passenger,2w,phev_d,2017-12-31,15_RP,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4069,road,passenger,2w,phev_d,2017-12-31,16_RUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4070,road,passenger,2w,phev_d,2017-12-31,17_SIN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4071,road,passenger,2w,phev_d,2017-12-31,18_CT,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4072,road,passenger,2w,phev_d,2017-12-31,19_THA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4073,road,passenger,2w,phev_d,2017-12-31,20_USA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4074,road,passenger,2w,phev_d,2017-12-31,21_VN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,1174355492.3538785,,,left_only
4159,road,freight,2w,cng,2017-12-31,01_AUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4160,road,freight,2w,cng,2017-12-31,02_BD,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4161,road,freight,2w,cng,2017-12-31,03_CDA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4162,road,freight,2w,cng,2017-12-31,04_CHL,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4163,road,freight,2w,cng,2017-12-31,05_PRC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4164,road,freight,2w,cng,2017-12-31,06_HKC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4165,road,freight,2w,cng,2017-12-31,07_INA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4166,road,freight,2w,cng,2017-12-31,08_JPN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4167,road,freight,2w,cng,2017-12-31,09_ROK,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4168,road,freight,2w,cng,2017-12-31,10_MAS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4169,road,freight,2w,cng,2017-12-31,11_MEX,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4170,road,freight,2w,cng,2017-12-31,12_NZ,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4171,road,freight,2w,cng,2017-12-31,13_PNG,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4172,road,freight,2w,cng,2017-12-31,14_PE,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4173,road,freight,2w,cng,2017-12-31,15_RP,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4174,road,freight,2w,cng,2017-12-31,16_RUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4175,road,freight,2w,cng,2017-12-31,17_SIN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4176,road,freight,2w,cng,2017-12-31,18_CT,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4177,road,freight,2w,cng,2017-12-31,19_THA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4178,road,freight,2w,cng,2017-12-31,20_USA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4179,road,freight,2w,cng,2017-12-31,21_VN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4180,road,freight,2w,lpg,2017-12-31,01_AUS,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4181,road,freight,2w,lpg,2017-12-31,02_BD,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4182,road,freight,2w,lpg,2017-12-31,03_CDA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4183,road,freight,2w,lpg,2017-12-31,04_CHL,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4184,road,freight,2w,lpg,2017-12-31,05_PRC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4185,road,freight,2w,lpg,2017-12-31,06_HKC,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4186,road,freight,2w,lpg,2017-12-31,07_INA,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4187,road,freight,2w,lpg,2017-12-31,08_JPN,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
4188,road,freight,2w,lpg,2017-12-31,09_ROK,Yearly,Efficiency,Km_per_PJ,manually_inputted_data_cleaned_road,National,USA data,all,USA_alternative_fuels_data_center,593888348.99039,,,left_only
