,measure,vehicle_type,drive,year,value,unit,new_vehicles,medium
0,travel_km,lcv,bev,2024,0.000665,billion miles,False,road
0,travel_km,lcv,bev,2025,0.000618,billion miles,False,road
0,travel_km,lcv,bev,2026,0.000584,billion miles,False,road
0,travel_km,lcv,bev,2027,0.000557,billion miles,False,road
0,travel_km,lcv,bev,2028,0.000536,billion miles,False,road
0,travel_km,lcv,bev,2029,0.000504,billion miles,False,road
0,travel_km,lcv,bev,2030,0.000463,billion miles,False,road
0,travel_km,lcv,bev,2031,0.000425,billion miles,False,road
0,travel_km,lcv,bev,2032,0.000392,billion miles,False,road
0,travel_km,lcv,bev,2033,0.00033,billion miles,False,road
0,travel_km,lcv,bev,2034,0.00026,billion miles,False,road
0,travel_km,lcv,bev,2035,0.000205,billion miles,False,road
0,travel_km,lcv,bev,2036,0.000161,billion miles,False,road
0,travel_km,lcv,bev,2037,0.000126,billion miles,False,road
0,travel_km,lcv,bev,2038,9.9e-05,billion miles,False,road
0,travel_km,lcv,bev,2039,7.7e-05,billion miles,False,road
0,travel_km,lcv,bev,2040,6.9e-05,billion miles,False,road
0,travel_km,lcv,bev,2041,6.7e-05,billion miles,False,road
0,travel_km,lcv,bev,2042,6.6e-05,billion miles,False,road
0,travel_km,lcv,bev,2043,6.4e-05,billion miles,False,road
0,travel_km,lcv,bev,2044,5.2e-05,billion miles,False,road
0,travel_km,lcv,bev,2045,3.6e-05,billion miles,False,road
0,travel_km,lcv,bev,2046,2.6e-05,billion miles,False,road
0,travel_km,lcv,bev,2047,1.8e-05,billion miles,False,road
0,travel_km,lcv,bev,2048,1.3e-05,billion miles,False,road
0,travel_km,lcv,bev,2049,9e-06,billion miles,False,road
0,travel_km,lcv,bev,2050,6e-06,billion miles,False,road
0,travel_km,lcv,phev_d,2021,,billion miles,False,road
0,travel_km,lcv,phev_d,2022,0.0,billion miles,False,road
0,travel_km,lcv,phev_d,2023,0.005791,billion miles,False,road
0,travel_km,lcv,phev_d,2024,0.011641,billion miles,False,road
0,travel_km,lcv,phev_d,2025,0.017745,billion miles,False,road
0,travel_km,lcv,phev_d,2026,0.024024,billion miles,False,road
0,travel_km,lcv,phev_d,2027,0.030277,billion miles,False,road
0,travel_km,lcv,phev_d,2028,0.036508,billion miles,False,road
0,travel_km,lcv,phev_d,2029,0.042765,billion miles,False,road
0,travel_km,lcv,phev_d,2030,0.049185,billion miles,False,road
0,travel_km,lcv,phev_d,2031,0.055924,billion miles,False,road
0,travel_km,lcv,phev_d,2032,0.063112,billion miles,False,road
0,travel_km,lcv,phev_d,2033,0.070484,billion miles,False,road
0,travel_km,lcv,phev_d,2034,0.078226,billion miles,False,road
0,travel_km,lcv,phev_d,2035,0.086534,billion miles,False,road
0,travel_km,lcv,phev_d,2036,0.095422,billion miles,False,road
0,travel_km,lcv,phev_d,2037,0.105274,billion miles,False,road
0,travel_km,lcv,phev_d,2038,0.116181,billion miles,False,road
0,travel_km,lcv,phev_d,2039,0.128332,billion miles,False,road
0,travel_km,lcv,phev_d,2040,0.142063,billion miles,False,road
0,travel_km,lcv,phev_d,2041,0.157389,billion miles,False,road
0,travel_km,lcv,phev_d,2042,0.174051,billion miles,False,road
0,travel_km,lcv,phev_d,2043,0.191836,billion miles,False,road
0,travel_km,lcv,phev_d,2044,0.210715,billion miles,False,road
0,travel_km,lcv,phev_d,2045,0.230889,billion miles,False,road
0,travel_km,lcv,phev_d,2046,0.252466,billion miles,False,road
0,travel_km,lcv,phev_d,2047,0.274962,billion miles,False,road
0,travel_km,lcv,phev_d,2048,0.297693,billion miles,False,road
0,travel_km,lcv,phev_d,2049,0.321199,billion miles,False,road
0,travel_km,lcv,phev_d,2050,0.346224,billion miles,False,road
0,travel_km,lcv,phev_g,2021,,billion miles,False,road
0,travel_km,lcv,phev_g,2022,0.0,billion miles,False,road
0,travel_km,lcv,phev_g,2023,0.006025,billion miles,False,road
0,travel_km,lcv,phev_g,2024,0.012129,billion miles,False,road
0,travel_km,lcv,phev_g,2025,0.018395,billion miles,False,road
0,travel_km,lcv,phev_g,2026,0.024749,billion miles,False,road
0,travel_km,lcv,phev_g,2027,0.030966,billion miles,False,road
0,travel_km,lcv,phev_g,2028,0.037011,billion miles,False,road
0,travel_km,lcv,phev_g,2029,0.042946,billion miles,False,road
0,travel_km,lcv,phev_g,2030,0.048956,billion miles,False,road
0,travel_km,lcv,phev_g,2031,0.055274,billion miles,False,road
0,travel_km,lcv,phev_g,2032,0.06205,billion miles,False,road
0,travel_km,lcv,phev_g,2033,0.069098,billion miles,False,road
0,travel_km,lcv,phev_g,2034,0.076634,billion miles,False,road
0,travel_km,lcv,phev_g,2035,0.084903,billion miles,False,road
0,travel_km,lcv,phev_g,2036,0.093932,billion miles,False,road
0,travel_km,lcv,phev_g,2037,0.104143,billion miles,False,road
0,travel_km,lcv,phev_g,2038,0.115635,billion miles,False,road
0,travel_km,lcv,phev_g,2039,0.12865,billion miles,False,road
0,travel_km,lcv,phev_g,2040,0.143532,billion miles,False,road
0,travel_km,lcv,phev_g,2041,0.160333,billion miles,False,road
0,travel_km,lcv,phev_g,2042,0.178793,billion miles,False,road
0,travel_km,lcv,phev_g,2043,0.198736,billion miles,False,road
0,travel_km,lcv,phev_g,2044,0.21998,billion miles,False,road
0,travel_km,lcv,phev_g,2045,0.242805,billion miles,False,road
0,travel_km,lcv,phev_g,2046,0.267198,billion miles,False,road
0,travel_km,lcv,phev_g,2047,0.292703,billion miles,False,road
0,travel_km,lcv,phev_g,2048,0.318521,billion miles,False,road
0,travel_km,lcv,phev_g,2049,0.345285,billion miles,False,road
0,travel_km,lcv,phev_g,2050,0.373702,billion miles,False,road
0,travel_km,lcv,fcev,2021,,billion miles,False,road
0,travel_km,lcv,fcev,2022,0.0,billion miles,False,road
0,travel_km,lcv,fcev,2023,0.0,billion miles,False,road
0,travel_km,lcv,fcev,2024,2e-06,billion miles,False,road
0,travel_km,lcv,fcev,2025,4e-06,billion miles,False,road
0,travel_km,lcv,fcev,2026,6e-06,billion miles,False,road
0,travel_km,lcv,fcev,2027,8e-06,billion miles,False,road
0,travel_km,lcv,fcev,2028,1e-05,billion miles,False,road
0,travel_km,lcv,fcev,2029,1.1e-05,billion miles,False,road
0,travel_km,lcv,fcev,2030,1.3e-05,billion miles,False,road
0,travel_km,lcv,fcev,2031,1.5e-05,billion miles,False,road
0,travel_km,lcv,fcev,2032,1.7e-05,billion miles,False,road
0,travel_km,lcv,fcev,2033,1.8e-05,billion miles,False,road
0,travel_km,lcv,fcev,2034,2e-05,billion miles,False,road
0,travel_km,lcv,fcev,2035,2.1e-05,billion miles,False,road
0,travel_km,lcv,fcev,2036,2.2e-05,billion miles,False,road
0,travel_km,lcv,fcev,2037,2.3e-05,billion miles,False,road
0,travel_km,lcv,fcev,2038,2.4e-05,billion miles,False,road
0,travel_km,lcv,fcev,2039,2.5e-05,billion miles,False,road
0,travel_km,lcv,fcev,2040,2.6e-05,billion miles,False,road
0,travel_km,lcv,fcev,2041,2.7e-05,billion miles,False,road
0,travel_km,lcv,fcev,2042,2.8e-05,billion miles,False,road
0,travel_km,lcv,fcev,2043,2.8e-05,billion miles,False,road
0,travel_km,lcv,fcev,2044,2.8e-05,billion miles,False,road
0,travel_km,lcv,fcev,2045,2.9e-05,billion miles,False,road
0,travel_km,lcv,fcev,2046,2.9e-05,billion miles,False,road
0,travel_km,lcv,fcev,2047,2.8e-05,billion miles,False,road
0,travel_km,lcv,fcev,2048,2.8e-05,billion miles,False,road
0,travel_km,lcv,fcev,2049,2.7e-05,billion miles,False,road
0,travel_km,lcv,fcev,2050,2.7e-05,billion miles,False,road
0,travel_km,mt,ice_d,2021,,billion miles,False,road
0,travel_km,mt,ice_d,2022,39.558544,billion miles,False,road
0,travel_km,mt,ice_d,2023,39.337627,billion miles,False,road
0,travel_km,mt,ice_d,2024,39.299656,billion miles,False,road
0,travel_km,mt,ice_d,2025,39.581608,billion miles,False,road
0,travel_km,mt,ice_d,2026,40.110664,billion miles,False,road
0,travel_km,mt,ice_d,2027,40.671707,billion miles,False,road
0,travel_km,mt,ice_d,2028,41.263809,billion miles,False,road
0,travel_km,mt,ice_d,2029,41.765324,billion miles,False,road
0,travel_km,mt,ice_d,2030,42.233723,billion miles,False,road
0,travel_km,mt,ice_d,2031,42.75589,billion miles,False,road
0,travel_km,mt,ice_d,2032,43.429985,billion miles,False,road
0,travel_km,mt,ice_d,2033,44.019016,billion miles,False,road
0,travel_km,mt,ice_d,2034,44.583286,billion miles,False,road
0,travel_km,mt,ice_d,2035,45.18047,billion miles,False,road
0,travel_km,mt,ice_d,2036,45.736732,billion miles,False,road
0,travel_km,mt,ice_d,2037,46.355183,billion miles,False,road
0,travel_km,mt,ice_d,2038,46.957836,billion miles,False,road
0,travel_km,mt,ice_d,2039,47.563808,billion miles,False,road
0,travel_km,mt,ice_d,2040,48.222565,billion miles,False,road
0,travel_km,mt,ice_d,2041,48.907677,billion miles,False,road
0,travel_km,mt,ice_d,2042,49.5737,billion miles,False,road
0,travel_km,mt,ice_d,2043,50.240974,billion miles,False,road
0,travel_km,mt,ice_d,2044,50.887699,billion miles,False,road
0,travel_km,mt,ice_d,2045,51.487984,billion miles,False,road
0,travel_km,mt,ice_d,2046,52.142113,billion miles,False,road
0,travel_km,mt,ice_d,2047,52.823296,billion miles,False,road
0,travel_km,mt,ice_d,2048,53.454895,billion miles,False,road
0,travel_km,mt,ice_d,2049,54.11842,billion miles,False,road
0,travel_km,mt,ice_d,2050,54.955475,billion miles,False,road
0,travel_km,mt,ice_g,2021,,billion miles,False,road
0,travel_km,mt,ice_g,2022,19.487116,billion miles,False,road
0,travel_km,mt,ice_g,2023,19.215473,billion miles,False,road
0,travel_km,mt,ice_g,2024,19.072891,billion miles,False,road
0,travel_km,mt,ice_g,2025,19.059853,billion miles,False,road
0,travel_km,mt,ice_g,2026,19.182478,billion miles,False,road
0,travel_km,mt,ice_g,2027,19.313581,billion miles,False,road
0,travel_km,mt,ice_g,2028,19.47892,billion miles,False,road
0,travel_km,mt,ice_g,2029,19.629051,billion miles,False,road
0,travel_km,mt,ice_g,2030,19.775127,billion miles,False,road
0,travel_km,mt,ice_g,2031,19.949099,billion miles,False,road
0,travel_km,mt,ice_g,2032,20.21559,billion miles,False,road
0,travel_km,mt,ice_g,2033,20.442692,billion miles,False,road
0,travel_km,mt,ice_g,2034,20.670752,billion miles,False,road
0,travel_km,mt,ice_g,2035,20.9112,billion miles,False,road
0,travel_km,mt,ice_g,2036,21.112675,billion miles,False,road
0,travel_km,mt,ice_g,2037,21.367302,billion miles,False,road
0,travel_km,mt,ice_g,2038,21.576696,billion miles,False,road
0,travel_km,mt,ice_g,2039,21.845287,billion miles,False,road
0,travel_km,mt,ice_g,2040,22.11479,billion miles,False,road
0,travel_km,mt,ice_g,2041,22.415617,billion miles,False,road
0,travel_km,mt,ice_g,2042,22.714939,billion miles,False,road
0,travel_km,mt,ice_g,2043,23.016796,billion miles,False,road
0,travel_km,mt,ice_g,2044,23.311953,billion miles,False,road
0,travel_km,mt,ice_g,2045,23.583118,billion miles,False,road
0,travel_km,mt,ice_g,2046,23.878855,billion miles,False,road
0,travel_km,mt,ice_g,2047,24.179132,billion miles,False,road
0,travel_km,mt,ice_g,2048,24.450663,billion miles,False,road
0,travel_km,mt,ice_g,2049,24.739687,billion miles,False,road
0,travel_km,mt,ice_g,2050,25.09705,billion miles,False,road
0,travel_km,mt,lpg,2021,,billion miles,False,road
0,travel_km,mt,lpg,2022,0.035519,billion miles,False,road
0,travel_km,mt,lpg,2023,0.036849,billion miles,False,road
0,travel_km,mt,lpg,2024,0.0383,billion miles,False,road
0,travel_km,mt,lpg,2025,0.039928,billion miles,False,road
0,travel_km,mt,lpg,2026,0.041891,billion miles,False,road
0,travel_km,mt,lpg,2027,0.043984,billion miles,False,road
0,travel_km,mt,lpg,2028,0.046242,billion miles,False,road
