,date,medium,measure,transport_type,unit,vehicle_type,scope,frequency,economy,fuel,comment,dataset,drive,value
6979,2019,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,1400685482.3174047
6980,2019,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,664883185.6502721
6981,2019,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,847345389.3058648
6982,2019,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,868842037.3287809
6983,2019,road,efficiency,freight,km_per_pj,2w,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,552284848.0517681
6984,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,296241203.47630835
6985,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,267691841.77367547
6986,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,424621318.431492
6987,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,770377015.2745725
6988,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,365685752.1076496
6989,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_g,466039964.1182256
6990,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,phev_d,477863120.5308296
6991,2019,road,efficiency,passenger,km_per_pj,car,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_d,303756666.42847246
6992,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,ice_g,236992962.7810467
6993,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,cng,214153473.4189404
6994,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,lpg,339697054.74519366
6995,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,bev,616301612.219658
6996,2019,road,efficiency,passenger,km_per_pj,suv,national,yearly,07_INA,all,no_comment,usa_alternative_fuels_data_center,fcev,292548601.68611974
