Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
03_CDA,2018-12-31,National,Yearly,passenger,road,ldv,cng,0.0007308181412839017,17771.80535202742,LdvEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,ldv,d,0.011264854748030406,273935.1893333578,LdvEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,ldv,fcev,1.2286787849426726e-06,29.878623658418654,LdvEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,ldv,g,0.9780643950146852,23784261.867682684,LdvEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.005207304514425038,126629.59088086605,LdvEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,ldv,phevg,0.0003493133785592018,8494.492706088424,LdvEv_est,8th/IeaEv
04_CHL,2018-12-31,National,Yearly,passenger,road,ldv,bev,9.14004096170746e-05,419.5117022698702,LdvEv_est,8th/IeaEv
04_CHL,2018-12-31,National,Yearly,passenger,road,ldv,cng,0.0036613086426219308,16804.75861800492,LdvEv_est,8th/IeaEv
04_CHL,2018-12-31,National,Yearly,passenger,road,ldv,d,0.19861341335565846,911600.4127283084,LdvEv_est,8th/IeaEv
04_CHL,2018-12-31,National,Yearly,passenger,road,ldv,g,0.787323828316168,3613677.015653599,LdvEv_est,8th/IeaEv
04_CHL,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.009154034061499146,42015.3960782522,LdvEv_est,8th/IeaEv
04_CHL,2018-12-31,National,Yearly,passenger,road,ldv,phevg,0.0008007955358052131,3675.5097685360906,LdvEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,ldv,bev,0.007895606236291158,1471816.5949787782,LdvEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,ldv,cng,0.054968696287413465,10246691.258272126,LdvEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,ldv,d,0.03339931308925155,6225951.724860005,LdvEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,ldv,fcev,2.270675986225604e-05,4232.757432843447,LdvEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,ldv,g,0.8631061872378202,160891256.6797663,LdvEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.004852387332116893,904531.4554629065,LdvEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,ldv,phevg,0.008870942305756798,1653628.5761947024,LdvEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,ldv,bev,0.0016936546509588421,117172.6720106297,LdvEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,ldv,d,0.07067360763576744,4889435.660703034,LdvEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,ldv,fcev,1.4402794989168892e-06,99.64333474636078,LdvEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,ldv,g,0.921814843085897,63774222.331739515,LdvEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.003192696370839046,220881.37299895284,LdvEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,ldv,phevg,1.531017107348653e-05,1059.208648353815,LdvEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,ldv,bev,0.003091945575279943,56893.375477394344,LdvEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,ldv,cng,0.0009558379882926552,17587.906461958886,LdvEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,ldv,d,0.14025205566123725,2580709.352715153,LdvEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,ldv,fcev,1.8956442424208373e-05,348.8082083910704,LdvEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,ldv,g,0.7611720604266327,14005954.109600859,LdvEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,ldv,lpg,0.09368138442883604,1723785.2509966418,LdvEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,ldv,phevg,5.973987426829095e-05,1099.2441538724304,LdvEv_est,8th/IeaEv
11_MEX,2018-12-31,National,Yearly,passenger,road,ldv,bev,4.4155564430287576e-05,1636.79683348739,LdvEv_est,8th/IeaEv
11_MEX,2018-12-31,National,Yearly,passenger,road,ldv,cng,0.00024109990780240493,8937.300898239426,LdvEv_est,8th/IeaEv
