Date,Vehicle Type,Transport Type,Drive,Fuel,Economy,Medium,Country,measure,Value,Comment,Scope,Dataset,Frequency,Unit
2000,all,freight,all,Motor gasoline,03_CDA,all,Canada,Energy,217.98,no_comment,all,EEI,annual,PJ
2000,all,freight,all,Motor gasoline,08_JPN,all,Japan,Energy,156.79,no_comment,all,EEI,annual,PJ
2000,all,freight,all,Motor gasoline,12_NZ,all,New Zealand,Energy,33.76,no_comment,all,EEI,annual,PJ
2000,all,freight,all,Motor gasoline,20_USA,all,United States,Energy,445.04,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,01_AUS,air,Australia,Energy,0.82,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,01_AUS,all,Australia,Energy,363.69,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,01_AUS,rail,Australia,Energy,25.0,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,01_AUS,ship,Australia,Energy,16.16,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,03_CDA,air,Canada,Energy,7.7,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,03_CDA,all,Canada,Energy,863.24,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,03_CDA,rail,Canada,Energy,77.43,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,03_CDA,ship,Canada,Energy,102.82,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,08_JPN,air,Japan,Energy,22.73,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,08_JPN,all,Japan,Energy,1286.6,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,08_JPN,rail,Japan,Energy,5.17,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,08_JPN,ship,Japan,Energy,121.77,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,09_ROK,air,Korea,Energy,0.24,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,09_ROK,all,Korea,Energy,320.76,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,09_ROK,rail,Korea,Energy,4.27,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,09_ROK,ship,Korea,Energy,22.97,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,12_NZ,all,New Zealand,Energy,61.03,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,12_NZ,ship,New Zealand,Energy,2.37,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,20_USA,air,United States,Energy,171.56,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,20_USA,all,United States,Energy,5281.37,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,20_USA,rail,United States,Energy,517.17,no_comment,all,EEI,annual,PJ
2000,all,freight,all,all,20_USA,ship,United States,Energy,112.35,no_comment,all,EEI,annual,PJ
2000,all,freight,rail_diesel,Diesel and light fuel oil,01_AUS,rail,Australia,Energy,22.76,no_comment,all,EEI,annual,PJ
2000,all,freight,rail_diesel,Diesel and light fuel oil,03_CDA,rail,Canada,Energy,77.43,no_comment,all,EEI,annual,PJ
2000,all,freight,rail_diesel,Diesel and light fuel oil,08_JPN,rail,Japan,Energy,1.69,no_comment,all,EEI,annual,PJ
2000,all,freight,rail_diesel,Diesel and light fuel oil,09_ROK,rail,Korea,Energy,4.25,no_comment,all,EEI,annual,PJ
2000,all,freight,rail_diesel,Diesel and light fuel oil,20_USA,rail,United States,Energy,517.17,no_comment,all,EEI,annual,PJ
