Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
09_ROK,2021-12-31,National,Yearly,freight,road,ht,lpg,0.07080369659479611,177866.67425275326,HtEv_est,8th/IeaEv
09_ROK,2021-12-31,National,Yearly,freight,road,ht,phevd,0.000266945956833955,670.5976076221467,HtEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,freight,road,ht,bev,0.000451424531638622,62.25686000734564,HtEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,freight,road,ht,cng,0.00023192727547267507,31.985554414987565,HtEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,freight,road,ht,d,0.9760659388267531,134611.20575547518,HtEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,freight,road,ht,g,0.02248969799349096,3101.599229678325,HtEv_est,8th/IeaEv
12_NZ,2021-12-31,National,Yearly,freight,road,ht,lpg,0.0005798181886816876,79.96388603746891,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,bev,0.006855195593994393,68227.75317471716,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,bev,0.007131349981029299,70976.23687564017,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,cng,0.03497805662060398,348126.3489742816,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,d,0.878282137390312,8741284.77677952,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,fcev,0.00016237403374203942,1616.061182242632,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,g,0.05322684114359786,529751.1544377744,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,lpg,0.0028147469527609074,28014.351699972154,HtEv_est,8th/IeaEv
05_PRC,2025-12-31,National,Yearly,freight,road,ht,phevd,0.0001958970528885384,1949.7059695631265,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,bev,0.0008325195615642683,9530.104507172895,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,bev,0.0005569268874993345,6375.311386978681,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,cng,0.02467156304813476,282422.88236716524,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,d,0.7498919992851576,8584241.682984982,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,fcev,1.3078926105374774e-06,14.971844312176108,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,g,0.21171372124530294,2423551.3280662415,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,lpg,0.0014467036129358552,16560.856055175067,HtEv_est,8th/IeaEv
20_USA,2025-12-31,National,Yearly,freight,road,ht,phevd,0.007661460526847138,87703.06773481936,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,bev,0.043400811397126954,496982.1270979526,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,bev,0.043378952669651645,496731.82309379627,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,cng,0.037104233897043114,424880.10000000003,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,d,0.7771590955434672,8899238.700000001,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,fcev,0.0006054237944729131,6932.7,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,g,0.05870245071451047,672201.0000000001,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,lpg,0.002622193178631676,30026.7,HtEv_est,8th/IeaEv
05_PRC,2030-12-31,National,Yearly,freight,road,ht,phevd,0.00023020723017151272,2636.1,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,bev,0.006269370670640056,74048.0949649194,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,bev,0.015780901932398193,186389.63722382704,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,cng,0.03327499521847647,393013.93,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,d,0.7018267917547654,8289338.7,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,fcev,0.0017528197442251091,20702.71,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,g,0.20407000404450426,2410288.98,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,lpg,0.0017993853064692002,21252.7,HtEv_est,8th/IeaEv
20_USA,2030-12-31,National,Yearly,freight,road,ht,phevd,0.01109328022166288,131023.72,HtEv_est,8th/IeaEv
