Vehicle Type,Drive,Measure,Medium,Unit,Economy,Transport Type,Scope,Frequency,Date,Dataset,Value,Source
ldv,fcev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,117613540796.90173,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,34196979897.098225,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,682177.9378323997,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,28310755.61582815,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,59584288443.33961,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,39474437.85374718,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,14806248401.129591,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,26551506417.150845,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,39474437.85374718,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,90783.62994146712,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,7828918.28326633,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,10984942107.577976,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,13348135297.56546,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
