Vehicle Type,Drive,Measure,Economy,Date,Scope,Frequency,Fuel_Type,Unit,Comments,Medium,Value,Transport Type,Dataset,Source
ht,phevd,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,bev,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,cng,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,98076922.60177733,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,d,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,4903846154.796445,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,g,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,4903846154.796445,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,lpg,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,294230767.8053321,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,phevg,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,bev,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,g,freight_tonne_km,16_RUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,bev,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,d,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,36305114905.67502,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,fcev,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,g,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,10655893.924985902,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,bev,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,68615.82128737115,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,d,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,1379480891.391806,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,fcev,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,g,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,2655459553.076694,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,lpg,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,76584.11021106594,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,bev,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,g,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,cng,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,lpg,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,phevd,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,cng,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,phevg,freight_tonne_km,18_CT,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,bev,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,cng,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,36118532739.79,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,d,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,124611615214.86519,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,fcev,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,g,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,94159143.92735483,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,lpg,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,13369168083.235601,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,phevd,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,bev,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,30225.575688610166,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,cng,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,825949391.3471031,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,d,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,10076801455.407923,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,fcev,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,g,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,5048617151.502512,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,lpg,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,1467921617.5241637,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,phevg,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,27676.82444135443,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,bev,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,g,freight_tonne_km,19_THA,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,bev,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,d,freight_tonne_km,21_VN,2017-12-31,National,Yearly,,freight_tonne_km,,road,61562795612.27094,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
