Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,passenger,ldv,bev,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,06_HKC,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,07_INA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,07_INA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,07_INA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,07_INA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,07_INA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,07_INA,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,g,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,lpg,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,phevg,2017-12-31,08_JPN,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,bev,2017-12-31,09_ROK,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,cng,2017-12-31,09_ROK,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,d,2017-12-31,09_ROK,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
road,passenger,ldv,fcev,2017-12-31,09_ROK,Yearly,Occupancy,Passengers,1.5,Occupancy,National,,,guess
