Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,freight,ldv,fcev,2017-12-31,13_PNG,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,13_PNG,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,13_PNG,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,14_PE,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,15_RP,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,15_RP,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,fcev,2017-12-31,16_RUS,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,17_SIN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,17_SIN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,18_CT,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,phevg,2017-12-31,18_CT,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,cng,2017-12-31,21_VN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
road,freight,ldv,lpg,2017-12-31,21_VN,Yearly,Load,Tonnes,0.365,Load,National,,,guess
