Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
03_CDA,2020-12-31,National,Yearly,passenger,road,bus,cng,0.036200784343769485,3481.0312217125297,BusEv_est,8th/IeaEv
03_CDA,2020-12-31,National,Yearly,passenger,road,bus,d,0.792580449430819,76213.74343681811,BusEv_est,8th/IeaEv
03_CDA,2020-12-31,National,Yearly,passenger,road,bus,g,0.023674130809746702,2276.480744534433,BusEv_est,8th/IeaEv
03_CDA,2020-12-31,National,Yearly,passenger,road,bus,lpg,0.0007673612264219254,73.78868817150592,BusEv_est,8th/IeaEv
03_CDA,2020-12-31,National,Yearly,passenger,road,bus,phevd,0.0007777309727249244,74.78583260625601,BusEv_est,8th/IeaEv
05_PRC,2020-12-31,National,Yearly,passenger,road,bus,bev,0.09004443021285403,74209.57689334238,BusEv_est,8th/IeaEv
05_PRC,2020-12-31,National,Yearly,passenger,road,bus,cng,0.2049490625598314,168907.54021430967,BusEv_est,8th/IeaEv
05_PRC,2020-12-31,National,Yearly,passenger,road,bus,d,0.2625612566490263,216388.28429975512,BusEv_est,8th/IeaEv
05_PRC,2020-12-31,National,Yearly,passenger,road,bus,fcev,0.00017267693755173484,142.31066202163697,BusEv_est,8th/IeaEv
05_PRC,2020-12-31,National,Yearly,passenger,road,bus,g,0.18164310608272302,149700.07601943967,BusEv_est,8th/IeaEv
05_PRC,2020-12-31,National,Yearly,passenger,road,bus,lpg,0.028661113578162478,23620.884788761137,BusEv_est,8th/IeaEv
05_PRC,2020-12-31,National,Yearly,passenger,road,bus,phevd,0.012988780963010997,10704.625897979735,BusEv_est,8th/IeaEv
08_JPN,2020-12-31,National,Yearly,passenger,road,bus,bev,0.00031783789396285997,70.97129469454285,BusEv_est,8th/IeaEv
08_JPN,2020-12-31,National,Yearly,passenger,road,bus,d,0.90745195340564,202628.57648375898,BusEv_est,8th/IeaEv
08_JPN,2020-12-31,National,Yearly,passenger,road,bus,fcev,6.715465902169587e-05,14.995232431590559,BusEv_est,8th/IeaEv
08_JPN,2020-12-31,National,Yearly,passenger,road,bus,g,0.0793678530091083,17722.365369815827,BusEv_est,8th/IeaEv
08_JPN,2020-12-31,National,Yearly,passenger,road,bus,lpg,0.0008327177718690287,185.9408821517229,BusEv_est,8th/IeaEv
08_JPN,2020-12-31,National,Yearly,passenger,road,bus,phevd,0.002914512201541601,650.7930875310302,BusEv_est,8th/IeaEv
09_ROK,2020-12-31,National,Yearly,passenger,road,bus,bev,0.000765226334333419,44.34869220629329,BusEv_est,8th/IeaEv
09_ROK,2020-12-31,National,Yearly,passenger,road,bus,cng,0.6936625556745251,40201.2134141171,BusEv_est,8th/IeaEv
09_ROK,2020-12-31,National,Yearly,passenger,road,bus,d,0.11562192032097249,6700.868392201961,BusEv_est,8th/IeaEv
09_ROK,2020-12-31,National,Yearly,passenger,road,bus,g,0.11455294342566971,6638.915836234688,BusEv_est,8th/IeaEv
09_ROK,2020-12-31,National,Yearly,passenger,road,bus,lpg,0.07069040759260173,4096.862572029233,BusEv_est,8th/IeaEv
12_NZ,2020-12-31,National,Yearly,passenger,road,bus,bev,0.0040160644054412845,43.98393736839295,BusEv_est,8th/IeaEv
12_NZ,2020-12-31,National,Yearly,passenger,road,bus,cng,0.0014550532295026424,15.935742969512939,BusEv_est,8th/IeaEv
12_NZ,2020-12-31,National,Yearly,passenger,road,bus,d,0.9637908828918127,10555.437749431132,BusEv_est,8th/IeaEv
12_NZ,2020-12-31,National,Yearly,passenger,road,bus,g,0.02055262686672482,225.09236944437023,BusEv_est,8th/IeaEv
12_NZ,2020-12-31,National,Yearly,passenger,road,bus,lpg,0.0015459940563465576,16.9317269051075,BusEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,passenger,road,bus,bev,0.004592345654964447,441.5907734900713,BusEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,passenger,road,bus,cng,0.03522714956359488,3387.372247736156,BusEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,passenger,road,bus,d,0.7952764517258819,76472.19304505736,BusEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,passenger,road,bus,g,0.023715956406169806,2280.4789361044764,BusEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,passenger,road,bus,lpg,0.0007349772609507012,70.67394345849753,BusEv_est,8th/IeaEv
03_CDA,2021-12-31,National,Yearly,passenger,road,bus,phevd,0.0009420131091058282,90.58209654539823,BusEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,passenger,road,bus,bev,0.10565846741278521,87078.00328437728,BusEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,passenger,road,bus,cng,0.19433795080794694,160162.84480656625,BusEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,passenger,road,bus,d,0.2486257270645796,204903.89845736502,BusEv_est,8th/IeaEv
05_PRC,2021-12-31,National,Yearly,passenger,road,bus,fcev,0.00028053768922651774,231.20401442527768,BusEv_est,8th/IeaEv
