,economy,date,medium,measure,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,dataset,drive,value
19234,17_SIN,2020,road,stocks,stocks,all,no_comment,national,yearly,ht,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19235,17_SIN,2021,road,stocks,stocks,all,no_comment,national,yearly,ht,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19236,17_SIN,2017,road,stocks,stocks,all,no_comment,national,yearly,ht,freight,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_d,0.0
19237,12_NZ,2000,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1357.3119090331732
19238,12_NZ,2001,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1372.0751893093284
19239,12_NZ,2002,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1401.0503096355117
19240,12_NZ,2003,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1443.4775079223914
19241,12_NZ,2004,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1500.7568296329694
19242,12_NZ,2005,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1557.5459822536561
19243,12_NZ,2006,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1600.414332721438
19244,12_NZ,2007,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1648.6439076099027
19245,12_NZ,2008,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1675.6951142582636
19246,12_NZ,2009,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1670.9986816657452
19247,12_NZ,2010,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1673.100281638653
19248,12_NZ,2011,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1675.9677708145155
19249,12_NZ,2012,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1706.6339745008227
19250,12_NZ,2013,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1772.3932214665153
19251,12_NZ,2014,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1863.7913753903204
19252,12_NZ,2015,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1961.6046172780739
19253,12_NZ,2016,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,2083.3074751843915
19254,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,2225.9895701380447
19255,12_NZ,2018,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,2363.898643578884
19256,12_NZ,2019,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,2489.6699049312965
19257,12_NZ,2020,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,2556.547350133303
19258,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_g,1247.2582201235018
19259,12_NZ,2000,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,58621.495242946374
19260,12_NZ,2001,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,59259.112550154256
19261,12_NZ,2002,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,60510.53078870419
19262,12_NZ,2003,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,62342.93628518104
19263,12_NZ,2004,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,64816.79617164415
19264,12_NZ,2005,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,67269.48594622653
19265,12_NZ,2006,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,69120.94454339604
19266,12_NZ,2007,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,71203.95123926108
19267,12_NZ,2008,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,72372.27678867913
19268,12_NZ,2009,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,72169.44065422183
19269,12_NZ,2010,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,72260.2075089105
19270,12_NZ,2011,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,72384.05266341279
19271,12_NZ,2012,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,73708.50778795127
19272,12_NZ,2013,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,76548.6106099511
19273,12_NZ,2014,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,80496.04259651259
19274,12_NZ,2015,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,84720.53842231321
19275,12_NZ,2016,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,89976.81257590115
19276,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,96139.16751798453
19277,12_NZ,2018,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,102095.37849562925
19278,12_NZ,2019,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,107527.36457782728
19279,12_NZ,2020,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,110415.76171755504
19280,12_NZ,2017,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data vehicle_dist_split ice_split,ice_d,53868.34177987651
19281,12_NZ,2000,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19282,12_NZ,2001,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19283,12_NZ,2002,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19284,12_NZ,2003,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19285,12_NZ,2004,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19286,12_NZ,2005,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19287,12_NZ,2006,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19288,12_NZ,2007,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19289,12_NZ,2008,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19290,12_NZ,2009,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19291,12_NZ,2010,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19292,12_NZ,2011,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19293,12_NZ,2012,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19294,12_NZ,2013,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19295,12_NZ,2014,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
19296,12_NZ,2015,road,stocks,stocks,all,no_comment,national,yearly,mt,freight,ato  country_official_statistics $ iea_ev_explorer_no_data vehicle_dist_split ice_split,phev_g,0.0
