SCENARIO,REGION,Drive,Vehicle Type,Transport Type,Medium,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Net-zero,01_AUS,,,,nonspecified,0.0,0.000167472,0.000125604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net-zero,01_AUS,,,freight,rail,416.8714041452897,427.8851985205069,438.3605551467279,436.2020484743224,436.1037026512065,438.3257802317121,440.1785586914352,472.6759730346592,447.9332381200974,433.5942555044305,438.5491012223898,443.3273066057982,447.9406350164117,452.3984371901505,456.6992108299746,460.828047088508,464.747212190561,468.4085015895714,471.7813439595655,474.855619521365,477.6422143511332,480.1655146790665,480.641523473364,479.1058603164532,477.4590184037017,475.7571364596085,474.0624135502542,472.4362356914627,470.9379109549756,469.6267658966207,468.5572430383401,467.7844696694019,467.3625795776611,467.3451471306673,463.0436112174399,458.5866799758304,453.9797127779326,449.2284013376938,444.336635208324,439.3065227879895,434.1373319617503,428.8270660479719,423.3719692863218,417.769823143072,412.0215360247497,406.1282916905164,400.0892926600397,393.9041633305041,387.5735338673131,381.0992770325933,374.4844446547131,367.7305639964391,360.8394042736024,353.8141886176887
Net-zero,01_AUS,,,passenger,rail,17.06214270273547,17.19764219890666,17.65305506951265,18.02070462388021,18.41952608218789,18.80480545528552,19.19106989215676,19.59546093960068,20.01043779243616,20.44928997195275,20.9042735556719,21.37522847560976,21.86218895136203,22.36517579365672,22.68633566540485,23.21990584685663,23.56827986275787,24.12904971922072,24.70201983292465,25.28613278977572,25.87956553028677,26.48153443172344,26.88372671363153,27.49951318628189,28.12120440546638,28.74865505736724,29.38068963286398,30.01604682698498,30.65330182205697,31.29088775127678,31.92543661750554,32.5545840808858,33.1758349700742,33.78673267221023,34.829313757321,35.4557892090288,36.09662871185483,36.75233182787699,37.42336595982803,38.11016091782973,38.81306818633593,39.53240016047716,40.26840656389143,41.02137912476825,41.79171420303437,42.57982225379202,43.38604249229125,44.2107247603325,45.05425376794857,45.91706347976216,46.79964112707395,47.70241336544279,48.62581573122405,49.57035068627537
Net-zero,01_AUS,bev,ht,freight,road,0.0,0.003830242605680968,0.02789697972991147,0.05045323328955582,0.07461318025184023,0.1132603681951136,0.1694849235540142,0.3231695865591452,0.7635417696289217,1.729424896194471,4.010609816456624,8.189502314791518,14.07254214571056,20.84209607645125,27.7766726221179,34.51354900081874,40.93426942670237,47.02891204542383,52.82414244946141,58.36454743399948,63.92257440451336,69.51414295722199,75.15613823621011,80.86328709063949,86.64530248568309,92.50937567637575,98.46283813019843,104.5117452241289,110.6605440760167,116.9126915094168,123.2691054030596,129.7298737451708,136.2938065548711,142.9586734085605,152.2529961385482,155.3872539392062,158.5663623386515,161.7928925466806,165.06879580648,168.3953094518556,171.7723196788526,175.198949597385,178.6731849763354,182.1934782409387,185.7597176560392,189.3718312891733,193.0284580130393,196.7282056503198,200.4700235293605,204.2534243728827,208.0785456796391,211.944368995328,215.8497935999654,219.794539910054
Net-zero,01_AUS,cng,ht,freight,road,0.02027398381503337,0.04448190803266838,0.1938305351812252,0.3455298979473357,0.5131763761398964,0.7648131479534092,1.004733861951068,1.244891866524892,1.472874426849566,1.653442753026056,1.806757830243529,1.922557047175911,1.997665226184334,2.040387605752678,2.063567355395097,2.076702725835434,2.08439162370201,2.088175730385279,2.088382384781767,2.084591748667846,2.070391495155417,2.046682823068531,2.014335708328626,1.974146461325602,1.926819159306049,1.87301063650485,1.813360645205352,1.748478995854607,1.678946351438529,1.605321174141307,1.52813347236237,1.447896975557452,1.365107373143514,1.280243766208987,1.20109726556258,1.209771099935931,1.218448150256516,1.227135016799885,1.235836356519734,1.244554765678169,1.253289276590483,1.262037079469003,1.270792703532223,1.279552151014042,1.288315172308516,1.297081668698792,1.305848515868123,1.314612705809236,1.323372205437656,1.332126408989339,1.340876195034187,1.349619837376684,1.358355535701181,1.367083405509817
Net-zero,01_AUS,d,ht,freight,road,196.5902401990082,207.7095431699435,211.8401369251713,209.9821520249475,203.0481256138494,207.4092700233054,211.8304544641626,217.5330004821392,223.02607986489,224.5341783594327,224.7359918933332,222.8903307764552,218.8490002968344,213.2886141018364,207.1361272265369,201.0133085729435,195.1672562300745,189.6300221239029,184.3620298199195,179.3067441474863,174.1856126772847,168.9851290778808,163.6965444767401,158.3101947882633,152.8127444708298,147.1915757937472,141.4375270252869,135.5429530581818,129.5014421696562,123.308274832653,116.9595378278579,110.4532581735765,103.7890636689981,96.96821998721609,90.64044474550955,91.39201091155927,92.14593839327185,92.90280796556203,93.66303594004083,94.42686153867142,95.19421215784159,95.96485093483739,96.73830205790613,97.51421422063298,98.29256476841084,99.07334341905991,99.85626839074631,100.6410644958845,101.4275405076777,102.2156311440029,103.0054039515012,103.7966905440102,104.5893134681473,105.3832674143537
Net-zero,01_AUS,fcev,ht,freight,road,0.0,0.0,3.730052830781746e-06,3.447367970270516e-06,9.246902499715407e-06,8.593561023532686e-06,2.108644543327261e-05,0.0001651675358405919,0.001977522696502428,0.01390928911180044,0.1035245057168977,0.5132101056651379,1.612545831843492,3.479221071815514,5.806770546984375,8.257105007510715,10.64894065008155,12.92500425113332,15.08177073326466,17.13178927343273,19.13609989828007,21.10136799341977,23.03423904278336,24.94037208041622,26.8235924000851,28.68673731085458,30.53251980414477,32.36311170442458,34.18007064778435,35.98455449939849,37.77688290050289,39.55707699508883,41.32474656595048,43.07918026738867,45.55219621682147,46.45752934365046,47.37557358021942,48.30707058257222,49.25258246946324,50.21246497473903,51.18668390858533,52.174985207395,53.17678726754936,54.19164364601006,55.21952218829748,56.26040231919721,57.31389217267395,58.37959132205007,59.45719804506687,60.54657309034522,61.64775717975117,62.76045833648581,63.88436113113763,65.01938660052043
Net-zero,01_AUS,g,ht,freight,road,9.128182624377253,9.73395825469935,10.55678849959043,10.97401947284232,11.06746904121587,11.76801609417365,12.44941435184127,13.18999315521371,13.8979616162367,14.33207526189517,14.64847443389404,14.78993146867301,14.7423564483412,14.55534536103625,14.30013734043675,14.02637819277293,13.75549890995485,13.49221635268318,13.23514792743512,12.97906952638666,12.68965777194285,12.37003451484845,12.02333430503275,11.65238796355459,11.25958654809172,10.8471691829767,10.4174020029926,9.972475365198413,9.514496777195728,9.045525183236997,8.56752295576404,8.082425970306812,7.592125471875079,7.098471528411041,6.647152102296862,6.698993621992288,6.750936779912654,6.803021375699974,6.855275749360977,6.907715982562055,6.960336736627174,7.013121479218086,7.066037442202831,7.119060537549063,7.172189232782784,7.225422869489646,7.278742336367674,7.332129079410245,7.385570351166376,7.439062024818882,7.492609011871544,7.546200250658469,7.599824131848207,7.653480739609374
Net-zero,01_AUS,lpg,ht,freight,road,1.409046603770782,1.50741737229064,1.742047525755153,1.903784134127383,2.001079429595401,2.198352574695118,2.388923919864054,2.586394769297058,2.77527381572068,2.912748100533111,3.021646839279013,3.088748564202258,3.110310496314834,3.097253152673906,3.065846524691589,3.027696249132322,2.988034001810101,2.948236900976772,2.908216516138153,2.867058681251781,2.816644047239937,2.757768331675037,2.691220222588706,2.617725319738318,2.537919950044304,2.452403212523188,2.361771366094732,2.266599964859295,2.167443021791471,2.064839977944968,1.959306675145768,1.851349160282855,1.741460518874582,1.630121803250944,1.526877764618134,1.537627348149701,1.548374971762131,1.559128789910522,1.56989453747604,1.580675391321082,1.591470120084353,1.602275222726631,1.613083924332533,1.623891284440795,1.634696996643339,1.645500943533975,1.656299284705851,1.667088333840832,1.677865614320807,1.688630411939551,1.699383840010566,1.710123812953615,1.720848160881044,1.731557070663722
Net-zero,01_AUS,bev,lt,freight,road,0.0001926091162995271,0.0009444624843435248,0.003628827177668323,0.005567057750261807,0.007702928230881693,0.01161865596752039,0.01759278663062272,0.03325725231765477,0.07245599388818284,0.1393076613258046,0.2717388654505091,0.482414218032255,0.7583755713135552,1.073881696956099,1.407463675080315,1.747059993552716,2.087573351477373,2.427545607680913,2.767186093163382,3.107867157933744,3.452389116539533,3.800832496579976,4.153261726726381,4.509432978140034,4.917413414594338,5.557627072734601,6.187041974571757,6.79662389235386,7.343483241242645,7.623270966023437,7.899896264636625,8.17004121820017,8.430162359265514,8.676552657071955,9.072306680440331,9.268727709672145,9.467436976646002,9.668595850500594,9.87232577613487,10.07870301329983,10.28771982270019,10.49932171706726,10.71338492244002,10.9298155858568,11.14860878318686,11.36976217220377,11.5931948284343,11.81882464091943,12.04659093109872,12.27646768234035,12.50846692201514,12.74253065545125,12.97859629221108,13.21665112821807
