Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Year,Value
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2002,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2002,0.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2002,15321283.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2002,1564673.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2002,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2002,34000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2002,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2002,11889798.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2002,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2002,766000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2002,17000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2002,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2003,4170565.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2003,2995529.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2003,3374791.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2003,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2003,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2003,12000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2003,16548816.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2003,1685367.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2003,5000000.0
