Measure,Value,Unit,Economy,Source,Comments,Scope,Frequency,Date,Dataset
COVID Google Mobility Data - Parks,0.03645161290322581,%,01_AUS,Google,,National,Monthly,2022-01-31,ATO
COVID Google Mobility Data - Parks,0.1296428571428571,%,01_AUS,Google,,National,Monthly,2022-02-28,ATO
COVID Google Mobility Data - Parks,0.1890322580645161,%,01_AUS,Google,,National,Monthly,2022-03-31,ATO
COVID Google Mobility Data - Public transport stations,0.08266666666666668,%,01_AUS,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Public transport stations,0.1851612903225806,%,01_AUS,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Public transport stations,0.605,%,01_AUS,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Public transport stations,0.4906451612903225,%,01_AUS,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Public transport stations,0.4036666666666667,%,01_AUS,Google,,National,Monthly,2020-06-30,ATO
COVID Google Mobility Data - Public transport stations,0.4164516129032259,%,01_AUS,Google,,National,Monthly,2020-07-31,ATO
COVID Google Mobility Data - Public transport stations,0.452258064516129,%,01_AUS,Google,,National,Monthly,2020-08-31,ATO
COVID Google Mobility Data - Public transport stations,0.4296666666666667,%,01_AUS,Google,,National,Monthly,2020-09-30,ATO
COVID Google Mobility Data - Public transport stations,0.4009677419354838,%,01_AUS,Google,,National,Monthly,2020-10-31,ATO
COVID Google Mobility Data - Public transport stations,0.369,%,01_AUS,Google,,National,Monthly,2020-11-30,ATO
COVID Google Mobility Data - Public transport stations,0.3729032258064516,%,01_AUS,Google,,National,Monthly,2020-12-31,ATO
COVID Google Mobility Data - Public transport stations,0.44,%,01_AUS,Google,,National,Monthly,2021-01-31,ATO
COVID Google Mobility Data - Public transport stations,0.3646428571428572,%,01_AUS,Google,,National,Monthly,2021-02-28,ATO
COVID Google Mobility Data - Public transport stations,0.3103225806451613,%,01_AUS,Google,,National,Monthly,2021-03-31,ATO
