,economy,measure,vehicle_type,medium,transport_type,unit,date,fuel,frequency,scope,comment,dataset,drive,value
14967,12_NZ,stocks,lt,road,passenger,stocks,2021,all,yearly,national,no_comment,nz_fleet_stats vehicle_dist_split,bev,1378.25
14968,12_NZ,stocks,car,road,passenger,stocks,2000,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,1718358.4000000001
14969,12_NZ,stocks,car,road,passenger,stocks,2001,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,1771180.8
14970,12_NZ,stocks,car,road,passenger,stocks,2002,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,1834111.2000000002
14971,12_NZ,stocks,car,road,passenger,stocks,2003,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,1916337.6
14972,12_NZ,stocks,car,road,passenger,stocks,2004,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,1992940.8
14973,12_NZ,stocks,car,road,passenger,stocks,2005,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2063110.4000000001
14974,12_NZ,stocks,car,road,passenger,stocks,2006,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2105520.0
14975,12_NZ,stocks,car,road,passenger,stocks,2007,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2143696.8000000003
14976,12_NZ,stocks,car,road,passenger,stocks,2008,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2154560.0
14977,12_NZ,stocks,car,road,passenger,stocks,2009,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2148025.6
14978,12_NZ,stocks,car,road,passenger,stocks,2010,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2164452.8000000003
14979,12_NZ,stocks,car,road,passenger,stocks,2011,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2158885.6
14980,12_NZ,stocks,car,road,passenger,stocks,2012,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2189424.8000000003
14981,12_NZ,stocks,car,road,passenger,stocks,2013,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2236012.8000000003
14982,12_NZ,stocks,car,road,passenger,stocks,2014,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2307495.2
14983,12_NZ,stocks,car,road,passenger,stocks,2015,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2383413.6
14984,12_NZ,stocks,car,road,passenger,stocks,2016,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2472878.4
14985,12_NZ,stocks,car,road,passenger,stocks,2017,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2561272.0
14986,12_NZ,stocks,car,road,passenger,stocks,2018,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2622678.4000000004
14987,12_NZ,stocks,car,road,passenger,stocks,2019,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2676502.4000000004
14988,12_NZ,stocks,car,road,passenger,stocks,2020,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,2692937.6
14989,12_NZ,stocks,suv,road,passenger,stocks,2000,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,322192.2
14990,12_NZ,stocks,suv,road,passenger,stocks,2001,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,332096.39999999997
14991,12_NZ,stocks,suv,road,passenger,stocks,2002,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,343895.85
14992,12_NZ,stocks,suv,road,passenger,stocks,2003,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,359313.3
14993,12_NZ,stocks,suv,road,passenger,stocks,2004,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,373676.39999999997
14994,12_NZ,stocks,suv,road,passenger,stocks,2005,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,386833.2
14995,12_NZ,stocks,suv,road,passenger,stocks,2006,all,yearly,national,no_comment,ato $ country_official_statistics vehicle_dist_split,all,394785.0
